"Id","IsDeleted","MasterRecordId","Name","Type","RecordTypeId","ParentId","BillingStreet","BillingCity","BillingState","BillingPostalCode","BillingCountry","BillingStateCode","BillingCountryCode","BillingLatitude","BillingLongitude","BillingGeocodeAccuracy","ShippingStreet","ShippingCity","ShippingState","ShippingPostalCode","ShippingCountry","ShippingStateCode","ShippingCountryCode","ShippingLatitude","ShippingLongitude","ShippingGeocodeAccuracy","Phone","Fax","AccountNumber","Website","Sic","Industry","AnnualRevenue","NumberOfEmployees","Ownership","TickerSymbol","Description","Rating","Site","CurrencyIsoCode","OwnerId","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","IsExcludedFromRealign","Jigsaw","JigsawCompanyId","AccountSource","SicDesc","OperatingHoursId","Abi_Rating__c","Account_Id__c","Ad_Plays__c","Age_Range__c","AreaCode__c","Asset__c","AvailableSockets__c","AvailableSpace__c","Avg_Ad_Exposure__c","Brand__c","BusinessmanName__c","ChannelType__c","Channel__c","City__c","Company__c","ConfirmedAddress__c","Country__c","DRV_Regional__c","Department__c","Emotions__c","FirstCluster__c","Gender__c","Height__c","Hours_of_Operation__c","Impression__c","Latitude__c","Layer__c","LegalRepresentative__c","LinkedIn__c","Location_of_Premises__c","Longitude__c","Medio__c","OnlySellAlcohol__c","PicturesStore__c","PreferredHoursAndDays__c","Product__c","Region__c","SAG_Gerencia__c","Second_Cluster__c","Service_Day__c","Service_Hours__c","Services__c","Size__c","SquareMetre__c","StoreAccess__c","StoreHours__c","TaxId__c","Third_Cluster__c","UEN_Sales_division__c","Unique_Views__c","Unique_Visitors__c","Views__c","Visitors__c","WallMaterialShown__c","Winkel_Rating__c","Zone__c"
"0018a000020QLsdAAG","0","","PE-LIM-10168433","","0128a000000NQFW","000000000000000AAA","Av. Militar 2033","LINCE","","","Peru","","PE","","","","","","","","Mexico","","MX","","","","992447960","","10168433","","","","","","","","Portugal Mendoza, Edgar Ernesto","","","PEN","0058a00000LN8cxAAD","2022-12-02 00:10:41","0058a00000LN8cxAAD","2022-12-02 00:10:41","0058a00000LN8cxAAD","2022-12-15 00:27:31","","0","","","","","000000000000000AAA","","ID-0000001","","","","","","","","","","","","","","","","N/A","","","","","","","","-12.084605","","","","","-77.031252","","","","","","","PE Ger P1 Lima Centr","","","","","","","","","N/A","","N/A","","","","","","",""
"0018a000020QLseAAG","0","","PE-LIM-10169745","","0128a000000NQFW","000000000000000AAA","Av. Brasil 0920","BRE‚??√´A","","","Peru","","PE","","","","","","","","Mexico","","MX","","","","944870419 - 991352599","","10169745","","","","","","","","Granados Carmona, Enrique Gregorio","","","PEN","0058a00000LN8cxAAD","2022-12-02 00:10:41","0058a00000LN8cxAAD","2022-12-02 00:10:41","0058a00000LN8cxAAD","2022-12-15 00:27:31","","0","","","","","000000000000000AAA","","ID-0000002","","","","","","","","","","","","","","","","N/A","","","","","","","","-12.0682746","","","","","-77.04855489","","","","","","","PE Ger P1 Lima Centr","","","","","","","","","N/A","","N/A","","","","","","",""
"0018a000020QLsfAAG","0","","PE-LIM-10169924","","0128a000000NQFW","000000000000000AAA","Ca. Tasso 0171","SAN BORJA","","","Peru","","PE","","","","","","","","Mexico","","MX","","","","994665061","","10169924","","","","","","","","TICLE ONOFRE VIOLETA","","","PEN","0058a00000LN8cxAAD","2022-12-02 00:10:41","0058a00000LN8cxAAD","2022-12-02 00:10:41","0058a00000LN8cxAAD","2022-12-15 00:27:31","","0","","","","","000000000000000AAA","","ID-0000003","","","","","","","","","","","","","","","","N/A","","","","","","","","-12.09417","","","","","-77.007459","","","","","","","PE Ger P1 Lima Este","","","","","","","","","N/A","","N/A","","","","","","",""
"0018a000020QLsgAAG","0","","PE-LIM-10169947","","0128a000000NQFW","000000000000000AAA","Jr. Sinchi Roca 1637","JESUS MARIA","","","Peru","","PE","","","","","","","","Mexico","","MX","","","","989359382","","10169947","","","","","","","","Aza‚??¬±ero Amaro Yovana Maria","","","PEN","0058a00000LN8cxAAD","2022-12-02 00:10:41","0058a00000LN8cxAAD","2022-12-02 00:10:41","0058a00000LN8cxAAD","2022-12-15 00:27:31","","0","","","","","000000000000000AAA","","ID-0000004","","","","","","","","","","","","","","","","N/A","","","","","","","","-12.078313","","","","","-77.044317","","","","","","","PE Ger P1 Lima Centr","","","","","","","","","N/A","","N/A","","","","","","",""
"0018a000020QLshAAG","0","","PE-LIM-10173763","","0128a000000NQFW","000000000000000AAA","Av. El Sol Mz D1 Lt 16","SAN JUAN DE LURIGANCHO","","","Peru","","PE","","","","","","","","Mexico","","MX","","","","992178729","","10173763","","","","","","","","Cayetano Rojas, Haydee Herlinda","","","PEN","0058a00000LN8cxAAD","2022-12-02 00:10:41","0058a00000LN8cxAAD","2022-12-02 00:10:41","0058a00000LN8cxAAD","2022-12-15 00:27:31","","0","","","","","000000000000000AAA","","ID-0000005","","","","","","","","","","","","","","","","N/A","","","","","","","","-11.985543","","","","","-77.004681","","","","","","","PE Ger P1 Lima Centr","","","","","","","","","N/A","","N/A","","","","","","",""
"0018a000020QLsiAAG","0","","PE-LIM-10176286","","0128a000000NQFW","000000000000000AAA","Av. Jose Galvez 2061","LINCE","","","Peru","","PE","","","","","","","","Mexico","","MX","","","","990961095","","10176286","","","","","","","","Consorcio Santiago Valentin S.A.C.","","","PEN","0058a00000LN8cxAAD","2022-12-02 00:10:41","0058a00000LN8cxAAD","2022-12-02 00:10:41","0058a00000LN8cxAAD","2022-12-15 00:27:31","","0","","","","","000000000000000AAA","","ID-0000006","","","","","","","","","","","","","","","","N/A","","","","","","","","-12.084472","","","","","-77.028945","","","","","","","PE Ger P1 Lima Centr","","","","","","","","","N/A","","N/A","","","","","","",""
"0018a000020QLsjAAG","0","","PE-LIM-10177889","","0128a000000NQFW","000000000000000AAA","Av. San Luis 2525","SAN BORJA","","","Peru","","PE","","","","","","","","Mexico","","MX","","","","970978519","","10177889","","","","","","","","Representaciones Vita","","","PEN","0058a00000LN8cxAAD","2022-12-02 00:10:41","0058a00000LN8cxAAD","2022-12-02 00:10:41","0058a00000LN8cxAAD","2022-12-15 00:27:31","","0","","","","","000000000000000AAA","","ID-0000007","","","","","","","","","","","","","","","","N/A","","","","","","","","-12.099316","","","","","-76.994688","","","","","","","PE Ger P1 Lima Este","","","","","","","","","N/A","","N/A","","","","","","",""
"0018a000020QLskAAG","0","","PE-LIM-10178685","","0128a000000NQFW","000000000000000AAA","Apv Fortaleza De Vitarte Mz E Lt 43","ATE","","","Peru","","PE","","","","","","","","Mexico","","MX","","","","949877801","","10178685","","","","","","","","Julca De La Cruz, Nelva Luz","","","PEN","0058a00000LN8cxAAD","2022-12-02 00:10:41","0058a00000LN8cxAAD","2022-12-02 00:10:41","0058a00000LN8cxAAD","2022-12-15 00:27:31","","0","","","","","000000000000000AAA","","ID-0000008","","","","","","","","","","","","","","","","N/A","","","","","","","","-12.031216","","","","","-76.938524","","","","","","","PE Ger P1 Lima Este","","","","","","","","","N/A","","N/A","","","","","","",""
"0018a000020QLslAAG","0","","PE-LIM-10186271","","0128a000000NQFW","000000000000000AAA","Jr. Maximo Alvarado 180","SAN JUAN DE MIRAFLORES","","","Peru","","PE","","","","","","","","Mexico","","MX","","","","988418063","","10186271","","","","","","","","Ortiz Ortiz, Marcial","","","PEN","0058a00000LN8cxAAD","2022-12-02 00:10:41","0058a00000LN8cxAAD","2022-12-02 00:10:41","0058a00000LN8cxAAD","2022-12-15 00:27:31","","0","","","","","000000000000000AAA","","ID-0000009","","","","","","","","","","","","","","","","N/A","","","","","","","","-12.154332","","","","","-76.966552","","","","","","","PE Ger P1 Lima Sur","","","","","","","","","N/A","","N/A","","","","","","",""
"0018a000020QLsmAAG","0","","PE-LIM-10191621","","0128a000000NQFW","000000000000000AAA","Aa.hh. 5 De Noviembre Mz N4 Lt 4","SAN JUAN DE LURIGANCHO","","","Peru","","PE","","","","","","","","","","","","","","991457602","","10191621","","","","","","","","Mendoza Asto De Cierto, Graciana","","","PEN","0058a00000LN8cxAAD","2022-12-02 00:10:41","0058a00000LN8cxAAD","2022-12-02 00:10:41","0058a00000LN8cxAAD","2022-12-15 00:27:31","","0","","","","","000000000000000AAA","","ID-0000010","","","","","","","","","","","","","","","","N/A","","","","","","","","-11.96007","","","","","-76.98962","","","","","","","PE Ger P1 Lima Centr","","","","","","","","","N/A","","N/A","","","","","","",""
