"Id","ContactId","AccountId","AccountRollupId","ParentId","RootAssetId","Product2Id","IsCompetitorProduct","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","IsDeleted","CurrencyIsoCode","Name","SerialNumber","InstallDate","ManufactureDate","StatusReason","Uuid","ExternalIdentifier","PurchaseDate","UsageEndDate","Status","DigitalAssetStatus","Price","Quantity","Description","OwnerId","LocationId","AssetProvidedById","AssetServicedById","IsInternal","ConsequenceOfFailure","Street","City","State","PostalCode","Country","StateCode","CountryCode","Latitude","Longitude","GeocodeAccuracy","Install_real_date__c","Validation_date__c","SlotsCounter__c"
"02i8a00000Ba1LQAAZ","000000000000000AAA","0018a000020QMIBAA4","0018a000020QMIBAA4","000000000000000AAA","02i8a00000Ba1LQAAZ","000000000000000AAA","0","2022-12-02 01:14:34","0058a00000LN8cxAAD","2023-01-24 05:56:07","0058a00000LLRscAAH","2023-01-24 05:56:07","0","MXN","MX-MIC-101027117-AST","N/A","","","","","","","","Installed","","","","","0058a00000LN8cxAAD","000000000000000AAA","000000000000000AAA","000000000000000AAA","0","","","","","","","","","","","","","","20"
"02i8a00000Ba1LRAAZ","000000000000000AAA","0018a000020QMIGAA4","0018a000020QMIGAA4","000000000000000AAA","02i8a00000Ba1LRAAZ","000000000000000AAA","0","2022-12-02 01:14:34","0058a00000LN8cxAAD","2023-01-24 05:56:07","0058a00000LLRscAAH","2023-01-24 05:56:07","0","MXN","MX-MIC-101029333-AST","N/A","","","","","","","","Installed","","","","","0058a00000LN8cxAAD","000000000000000AAA","000000000000000AAA","000000000000000AAA","0","","","","","","","","","","","","","","20"
"02i8a00000Ba1LSAAZ","000000000000000AAA","0018a000020QMWlAAO","0018a000020QMWlAAO","000000000000000AAA","02i8a00000Ba1LSAAZ","000000000000000AAA","0","2022-12-02 01:14:34","0058a00000LN8cxAAD","2023-01-24 05:56:07","0058a00000LLRscAAH","2023-01-24 05:56:07","0","MXN","MX-MIC-101032176-AST","N/A","","","","","","","","Installed","","","","","0058a00000LN8cxAAD","000000000000000AAA","000000000000000AAA","000000000000000AAA","0","","","","","","","","","","","","","","20"
"02i8a00000Ba1LTAAZ","000000000000000AAA","0018a000020QMWoAAO","0018a000020QMWoAAO","000000000000000AAA","02i8a00000Ba1LTAAZ","000000000000000AAA","0","2022-12-02 01:14:34","0058a00000LN8cxAAD","2023-01-24 05:56:07","0058a00000LLRscAAH","2023-01-24 05:56:07","0","MXN","MX-MIC-101035049-AST","N/A","","","","","","","","Installed","","","","","0058a00000LN8cxAAD","000000000000000AAA","000000000000000AAA","000000000000000AAA","0","","","","","","","","","","","","","","20"
"02i8a00000Ba1LUAAZ","000000000000000AAA","0018a000020QMDJAA4","0018a000020QMDJAA4","000000000000000AAA","02i8a00000Ba1LUAAZ","000000000000000AAA","0","2022-12-02 01:14:34","0058a00000LN8cxAAD","2023-01-24 05:56:07","0058a00000LLRscAAH","2023-01-24 05:56:07","0","MXN","MX-MOR-100841602-AST","N/A","","","","","","","","Installed","","","","","0058a00000LN8cxAAD","000000000000000AAA","000000000000000AAA","000000000000000AAA","0","","","","","","","","","","","","","","20"
"02i8a00000Ba1LVAAZ","000000000000000AAA","0018a000020QMDfAAO","0018a000020QMDfAAO","000000000000000AAA","02i8a00000Ba1LVAAZ","000000000000000AAA","0","2022-12-02 01:14:34","0058a00000LN8cxAAD","2023-01-24 05:56:07","0058a00000LLRscAAH","2023-01-24 05:56:07","0","MXN","MX-MOR-100879920-AST","N/A","","","","","","","","Installed","","","","","0058a00000LN8cxAAD","000000000000000AAA","000000000000000AAA","000000000000000AAA","0","","","","","","","","","","","","","","20"
"02i8a00000Ba1LWAAZ","000000000000000AAA","0018a000020QMDjAAO","0018a000020QMDjAAO","000000000000000AAA","02i8a00000Ba1LWAAZ","000000000000000AAA","0","2022-12-02 01:14:34","0058a00000LN8cxAAD","2023-01-24 05:56:07","0058a00000LLRscAAH","2023-01-24 05:56:07","0","MXN","MX-MOR-100883173-AST","N/A","","","","","","","","Installed","","","","","0058a00000LN8cxAAD","000000000000000AAA","000000000000000AAA","000000000000000AAA","0","","","","","","","","","","","","","","20"
"02i8a00000Ba1LXAAZ","000000000000000AAA","0018a000020QMEuAAO","0018a000020QMEuAAO","000000000000000AAA","02i8a00000Ba1LXAAZ","000000000000000AAA","0","2022-12-02 01:14:34","0058a00000LN8cxAAD","2023-01-24 05:56:07","0058a00000LLRscAAH","2023-01-24 05:56:07","0","MXN","MX-MOR-100895669-AST","N/A","","","","","","","","Installed","","","","","0058a00000LN8cxAAD","000000000000000AAA","000000000000000AAA","000000000000000AAA","0","","","","","","","","","","","","","","20"
"02i8a00000Ba1LYAAZ","000000000000000AAA","0018a000020QMW3AAO","0018a000020QMW3AAO","000000000000000AAA","02i8a00000Ba1LYAAZ","000000000000000AAA","0","2022-12-02 01:14:34","0058a00000LN8cxAAD","2023-01-24 05:56:07","0058a00000LLRscAAH","2023-01-24 05:56:07","0","MXN","MX-MOR-100900662-AST","N/A","","","","","","","","Installed","","","","","0058a00000LN8cxAAD","000000000000000AAA","000000000000000AAA","000000000000000AAA","0","","","","","","","","","","","","","","20"
"02i8a00000Ba1LZAAZ","000000000000000AAA","0018a000020QMEzAAO","0018a000020QMEzAAO","000000000000000AAA","02i8a00000Ba1LZAAZ","000000000000000AAA","0","2022-12-02 01:14:34","0058a00000LN8cxAAD","2023-01-24 05:56:07","0058a00000LLRscAAH","2023-01-24 05:56:07","0","MXN","MX-MOR-100900669-AST","N/A","","","","","","","","Installed","","","","","0058a00000LN8cxAAD","000000000000000AAA","000000000000000AAA","000000000000000AAA","0","","","","","","","","","","","","","","20"
"02i8a00000Ba1LaAAJ","000000000000000AAA","0018a000020QMF3AAO","0018a000020QMF3AAO","000000000000000AAA","02i8a00000Ba1LaAAJ","000000000000000AAA","0","2022-12-02 01:14:34","0058a00000LN8cxAAD","2023-01-24 05:56:07","0058a00000LLRscAAH","2023-01-24 05:56:07","0","MXN","MX-MOR-100904999-AST","N/A","","","","","","","","Installed","","","","","0058a00000LN8cxAAD","000000000000000AAA","000000000000000AAA","000000000000000AAA","0","","","","","","","","","","","","","","20"
"02i8a00000Ba1LcAAJ","000000000000000AAA","0018a000020QMFHAA4","0018a000020QMFHAA4","000000000000000AAA","02i8a00000Ba1LcAAJ","000000000000000AAA","0","2022-12-02 01:14:34","0058a00000LN8cxAAD","2023-01-24 05:56:07","0058a00000LLRscAAH","2023-01-24 05:56:07","0","MXN","MX-MOR-100917639-AST","N/A","","","","","","","","Installed","","","","","0058a00000LN8cxAAD","000000000000000AAA","000000000000000AAA","000000000000000AAA","0","","","","","","","","","","","","","","20"
"02i8a00000Ba1LdAAJ","000000000000000AAA","0018a000020QMFnAAO","0018a000020QMFnAAO","000000000000000AAA","02i8a00000Ba1LdAAJ","000000000000000AAA","0","2022-12-02 01:14:34","0058a00000LN8cxAAD","2023-01-24 05:56:07","0058a00000LLRscAAH","2023-01-24 05:56:07","0","MXN","MX-MOR-100948020-AST","N/A","","","","","","","","Installed","","","","","0058a00000LN8cxAAD","000000000000000AAA","000000000000000AAA","000000000000000AAA","0","","","","","","","","","","","","","","20"
"02i8a00000Ba1LeAAJ","000000000000000AAA","0018a000020QMHGAA4","0018a000020QMHGAA4","000000000000000AAA","02i8a00000Ba1LeAAJ","000000000000000AAA","0","2022-12-02 01:14:34","0058a00000LN8cxAAD","2023-01-24 05:56:07","0058a00000LLRscAAH","2023-01-24 05:56:07","0","MXN","MX-MOR-100962520-AST","N/A","","","","","","","","Installed","","","","","0058a00000LN8cxAAD","000000000000000AAA","000000000000000AAA","000000000000000AAA","0","","","","","","","","","","","","","","20"
"02i8a00000Ba1LfAAJ","000000000000000AAA","0018a000020QMHHAA4","0018a000020QMHHAA4","000000000000000AAA","02i8a00000Ba1LfAAJ","000000000000000AAA","0","2022-12-02 01:14:34","0058a00000LN8cxAAD","2023-01-24 05:56:07","0058a00000LLRscAAH","2023-01-24 05:56:07","0","MXN","MX-MOR-100964708-AST","N/A","","","","","","","","Installed","","","","","0058a00000LN8cxAAD","000000000000000AAA","000000000000000AAA","000000000000000AAA","0","","","","","","","","","","","","","","20"
"02i8a00000Ba1LgAAJ","000000000000000AAA","0018a000020QMHLAA4","0018a000020QMHLAA4","000000000000000AAA","02i8a00000Ba1LgAAJ","000000000000000AAA","0","2022-12-02 01:14:34","0058a00000LN8cxAAD","2023-01-24 05:56:09","0058a00000LLRscAAH","2023-01-24 05:56:09","0","MXN","MX-MOR-100969446-AST","N/A","","","","","","","","Installed","","","","","0058a00000LN8cxAAD","000000000000000AAA","000000000000000AAA","000000000000000AAA","0","","","","","","","","","","","","","","20"
"02i8a00000Ba1LhAAJ","000000000000000AAA","0018a000020QMIMAA4","0018a000020QMIMAA4","000000000000000AAA","02i8a00000Ba1LhAAJ","000000000000000AAA","0","2022-12-02 01:14:34","0058a00000LN8cxAAD","2023-01-24 05:56:09","0058a00000LLRscAAH","2023-01-24 05:56:09","0","MXN","MX-MIC-101032292-AST","N/A","","","","","","","","Installed","","","","","0058a00000LN8cxAAD","000000000000000AAA","000000000000000AAA","000000000000000AAA","0","","","","","","","","","","","","","","20"
