"Id","IsDeleted","Name","CurrencyIsoCode","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ContactId","Month","AllEmailsTrackedSentCount","AllEmailsHardBouncedCount","AllEmailsSoftBouncedCount","AllEmailsOutOfOfficeCount","AllCallsMeaningfulConnect","AllCallsNotInterested","AllCallsUnqualified","AllCallsLeftVoicemail","AllCallsCallBackLater","AllCallsUncategorized","UniqueEmailsOpenedCount","UniqueEmailsRepliedCount","UniqueEmailsLinkClickedCount","StartDateTime","EndDateTime","MonthInt","AllEmailsUntrackedSentCount","LinkClickTrackableSends","OpenTrackableSends","ReplyTrackableSends","SoftBounceTrackableSends","HardBounceTrackableSends","OutOfOfficeTrackableSends"
"0mL8a0000001AKGEA2","0","","MXN","2023-05-31 21:36:32","0058a00000L2IR7AAN","2023-05-31 21:36:32","0058a00000L2IR7AAN","2023-05-31 21:36:32","0038a00003A1AmBAAV","2023-05-01 00:00:00","","","","","","","","","","","1","","","","","202305","","","","","","",""
"0mL8a0000001DvYEAU","0","","MXN","2023-06-09 23:20:57","0058a00000L2IR7AAN","2023-06-09 23:20:57","0058a00000L2IR7AAN","2023-06-09 23:20:57","0038a00003HYCfHAAX","2023-06-01 00:00:00","","","","","","","","","","","1","","","","","202306","","","","","","",""
"0mL8a0000001XJzEAM","0","","MXN","2023-08-28 20:14:00","0058a00000L2IR7AAN","2023-08-28 20:14:00","0058a00000L2IR7AAN","2023-08-28 20:14:00","0038a00003DOS3VAAX","2023-08-01 00:00:00","","","","","","","","","","","1","","","","","202308","","","","","","",""
"0mL8a000000LscPEAS","0","","MXN","2023-02-13 02:13:16","0058a00000L2IR7AAN","2023-02-23 20:38:40","0058a00000L2IR7AAN","2023-02-23 20:38:40","0038a00003A1ZVDAA3","2023-02-01 00:00:00","1","","","","","","","","","","2","","","","","202302","","","1","","","",""
"0mL8a000000LssoEAC","0","","MXN","2023-02-14 18:11:52","0058a00000L2IR7AAN","2023-02-14 18:11:52","0058a00000L2IR7AAN","2023-02-14 18:11:52","0038a00003C5Ti9AAF","2023-02-01 00:00:00","","","","","","","","","","","1","","","","","202302","","","","","","",""
"0mL8a000000LsstEAC","0","","MXN","2023-02-14 18:11:52","0058a00000L2IR7AAN","2023-02-14 21:07:20","0058a00000L2IR7AAN","2023-02-14 21:07:20","0038a00003A0xTfAAJ","2023-02-01 00:00:00","1","","","","","","","","","","2","","","","","202302","","","1","","","",""
"0mL8a000000LtP6EAK","0","","MXN","2023-02-16 21:46:59","0058a00000L2IR7AAN","2023-02-17 19:51:10","0058a00000L2IR7AAN","2023-02-17 19:51:10","0038a000037KP1CAAW","2023-02-01 00:00:00","2","","","","","","","","","","2","","","","","202302","","","2","","2","2",""
"0mL8a000000LtP7EAK","0","","MXN","2023-02-16 21:46:59","0058a00000L2IR7AAN","2023-02-17 19:51:10","0058a00000L2IR7AAN","2023-02-17 19:51:10","0038a000037KP1NAAW","2023-02-01 00:00:00","2","","","","","","","","","","2","","","","","202302","","","2","","2","2",""
"0mL8a000000LtPBEA0","0","","MXN","2023-02-16 21:46:59","0058a00000L2IR7AAN","2023-02-17 19:51:10","0058a00000L2IR7AAN","2023-02-17 19:51:10","0038a000037KP0nAAG","2023-02-01 00:00:00","2","","","","","","","","","","2","","","","","202302","","","2","","2","2",""
"0mL8a000000LtPCEA0","0","","MXN","2023-02-16 21:46:59","0058a00000L2IR7AAN","2023-02-17 19:51:10","0058a00000L2IR7AAN","2023-02-17 19:51:10","0038a000037KP20AAG","2023-02-01 00:00:00","2","","","","","","","","","","2","","","","","202302","","","2","","2","2",""
"0mL8a000000LtPDEA0","0","","MXN","2023-02-16 21:46:59","0058a00000L2IR7AAN","2023-02-17 19:51:10","0058a00000L2IR7AAN","2023-02-17 19:51:10","0038a000037KP1MAAW","2023-02-01 00:00:00","2","","","","","","","","","","2","","","","","202302","","","2","","2","2",""
"0mL8a000000LtPEEA0","0","","MXN","2023-02-16 21:46:59","0058a00000L2IR7AAN","2023-02-17 19:51:10","0058a00000L2IR7AAN","2023-02-17 19:51:10","0038a000037KOzQAAW","2023-02-01 00:00:00","2","","","","","","","","","","2","","","","","202302","","","2","","2","2",""
"0mL8a000000LtPFEA0","0","","MXN","2023-02-16 21:46:59","0058a00000L2IR7AAN","2023-02-17 19:52:00","0058a00000L2IR7AAN","2023-02-17 19:52:00","0038a000037JQI5AAO","2023-02-01 00:00:00","2","","","","","","","","","","2","","","","","202302","","","2","","2","2",""
"0mL8a000000LtPGEA0","0","","MXN","2023-02-16 21:46:59","0058a00000L2IR7AAN","2023-02-17 19:51:10","0058a00000L2IR7AAN","2023-02-17 19:51:10","0038a000037KOyOAAW","2023-02-01 00:00:00","2","","","","","","","","","","2","","","","","202302","","","2","","2","2",""
"0mL8a000000LtPHEA0","0","","MXN","2023-02-16 21:46:59","0058a00000L2IR7AAN","2023-02-17 19:52:00","0058a00000L2IR7AAN","2023-02-17 19:52:00","0038a000037KP0dAAG","2023-02-01 00:00:00","2","","","","","","","","","","2","","","","","202302","","","2","","2","2",""
"0mL8a000000LumgEAC","0","","MXN","2023-02-23 22:40:20","0058a00000L2IR7AAN","2023-02-23 22:40:20","0058a00000L2IR7AAN","2023-02-23 22:40:20","0038a00003C5aZeAAJ","2023-02-01 00:00:00","","","","","","","","","","","1","","","","","202302","","","","","","",""
"0mL8a000000LuyQEAS","0","","MXN","2023-02-24 16:26:54","0058a00000L2IR7AAN","2023-02-24 17:08:34","0058a00000L2IR7AAN","2023-02-24 17:08:34","0038a00003A1ZaSAAV","2023-02-01 00:00:00","1","","","","","","","","","","1","","","","","202302","","","1","","","",""
"0mL8a000000LvR8EAK","0","","MXN","2023-03-01 16:42:45","0058a00000L2IR7AAN","2023-03-08 18:26:24","0058a00000L2IR7AAN","2023-03-08 18:26:24","0038a00003C5aZeAAJ","2023-03-01 00:00:00","3","","","","","","","","","","3","","","","","202303","","","3","","2","2",""
"0mL8a000000LvcTEAS","0","","MXN","2023-03-01 18:16:54","0058a00000L2IR7AAN","2023-03-01 18:16:54","0058a00000L2IR7AAN","2023-03-01 18:16:54","0038a00003DNpgTAAT","2023-03-01 00:00:00","1","","","","","","","","","","","","","","","202303","","","","","","",""
"0mL8a000000LwsmEAC","0","","MXN","2023-03-02 20:57:59","0058a00000L2IR7AAN","2023-03-02 20:57:59","0058a00000L2IR7AAN","2023-03-02 20:57:59","0038a00003A1AczAAF","2023-03-01 00:00:00","1","","","","","","","","","","","","","","","202303","","","","","","",""
"0mL8a000000LwsnEAC","0","","MXN","2023-03-02 20:57:59","0058a00000L2IR7AAN","2023-03-02 20:57:59","0058a00000L2IR7AAN","2023-03-02 20:57:59","0038a00003A0xXEAAZ","2023-03-01 00:00:00","1","","","","","","","","","","","","","","","202303","","","","","","",""
"0mL8a000000LwsrEAC","0","","MXN","2023-03-02 21:09:38","0058a00000L2IR7AAN","2023-03-02 21:09:38","0058a00000L2IR7AAN","2023-03-02 21:09:38","0038a00003A0xXDAAZ","2023-03-01 00:00:00","","","","","","","","","","","1","","","","","202303","","","","","","",""
"0mL8a000000LxIxEAK","0","","MXN","2023-03-04 04:17:35","0058a00000L2IR7AAN","2023-03-08 18:26:24","0058a00000L2IR7AAN","2023-03-08 18:26:24","0038a00003C5aoyAAB","2023-03-01 00:00:00","2","","","","","","","","","","3","","","","","202303","","","2","","2","2",""
"0mL8a000000LyD9EAK","0","","MXN","2023-03-08 18:25:33","0058a00000L2IR7AAN","2023-03-08 18:25:35","0058a00000L2IR7AAN","2023-03-08 18:25:35","0038a000037KP1CAAW","2023-03-01 00:00:00","1","","","","","","","","","","1","","","","","202303","","","1","","1","1",""
"0mL8a000000LyDAEA0","0","","MXN","2023-03-08 18:25:33","0058a00000L2IR7AAN","2023-03-08 18:25:35","0058a00000L2IR7AAN","2023-03-08 18:25:35","0038a000037KP20AAG","2023-03-01 00:00:00","1","","","","","","","","","","1","","","","","202303","","","1","","1","1",""
"0mL8a000000LyDBEA0","0","","MXN","2023-03-08 18:25:33","0058a00000L2IR7AAN","2023-03-08 18:25:35","0058a00000L2IR7AAN","2023-03-08 18:25:35","0038a000037KP0nAAG","2023-03-01 00:00:00","1","","","","","","","","","","1","","","","","202303","","","1","","1","1",""
"0mL8a000000LyDCEA0","0","","MXN","2023-03-08 18:25:33","0058a00000L2IR7AAN","2023-03-08 18:25:36","0058a00000L2IR7AAN","2023-03-08 18:25:36","0038a000037KP1MAAW","2023-03-01 00:00:00","1","","","","","","","","","","1","","","","","202303","","","1","","1","1",""
"0mL8a000000LyDDEA0","0","","MXN","2023-03-08 18:25:33","0058a00000L2IR7AAN","2023-03-08 18:25:34","0058a00000L2IR7AAN","2023-03-08 18:25:34","0038a000037KOyOAAW","2023-03-01 00:00:00","1","","","","","","","","","","1","","","","","202303","","","1","","1","1",""
