"Id","IsDeleted","Name","CurrencyIsoCode","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","FromEntityAssetType","FromDataAssetIdOrName","FromDataAssetFieldIdOrName","ToEntityAssetType","ToEntityIdOrName","ToEntityFieldIdOrName","EdgeType","EdgeInfoVersion","Weight1Name","Weight1Value","Weight2Name","Weight2Value","Info1Name","Info1Value","Info2Name","Info2Value"
"0m38a000008qvkUAAQ","0","DataAssetSemanticGraphEdge","MXN","2023-02-11 17:44:38","0058a00000L2IR7AAN","2023-02-11 17:44:38","0058a00000L2IR7AAN","2023-02-11 17:44:38","dataset-field","0Fb8a0000015JDm","Email","sobject-field","User","Email","DatasetFieldToSObjectFieldReference","2","","","XMD","","Dataset Field Label","Email","",""
"0m38a000008qvkVAAQ","0","DataAssetSemanticGraphEdge","MXN","2023-02-11 17:44:38","0058a00000L2IR7AAN","2023-02-11 17:44:38","0058a00000L2IR7AAN","2023-02-11 17:44:38","dataset-field","0Fb8a0000015JDm","UserType","sobject-field","User","UserType","DatasetFieldToSObjectFieldReference","2","","","XMD","","Dataset Field Label","Tipo de usuario","",""
"0m38a000008qvkWAAQ","0","DataAssetSemanticGraphEdge","MXN","2023-02-11 17:44:38","0058a00000L2IR7AAN","2023-02-11 17:44:38","0058a00000L2IR7AAN","2023-02-11 17:44:38","dataset-field","0Fb8a0000015JDm","SmallPhotoUrl","sobject-field","User","SmallPhotoUrl","DatasetFieldToSObjectFieldReference","2","","","XMD","","Dataset Field Label","Foto","",""
"0m38a000008qvkXAAQ","0","DataAssetSemanticGraphEdge","MXN","2023-02-11 17:44:38","0058a00000L2IR7AAN","2023-02-11 17:44:38","0058a00000L2IR7AAN","2023-02-11 17:44:38","dataset-field","0Fb8a0000015JDm","Name","sobject-field","User","Name","DatasetFieldToSObjectFieldReference","2","","","XMD","","Dataset Field Label","Nombre completo","",""
"0m38a000008qvkYAAQ","0","DataAssetSemanticGraphEdge","MXN","2023-02-11 17:44:38","0058a00000L2IR7AAN","2023-02-11 17:44:38","0058a00000L2IR7AAN","2023-02-11 17:44:38","dataset-field","0Fb8a0000015JDm","Id","sobject-field","User","Id","DatasetFieldToSObjectFieldReference","2","","","XMD","","Dataset Field Label","Id. de usuario","",""
"0m38a000008qvkZAAQ","0","DataAssetSemanticGraphEdge","MXN","2023-02-11 17:44:38","0058a00000L2IR7AAN","2023-02-11 17:44:38","0058a00000L2IR7AAN","2023-02-11 17:44:38","dataset-field","0Fb8a0000015JDm","","sobject-field","User","","DatasetFieldToSObjectFieldReference","2","","","XMD","","Dataset Field Label","","",""
"0m38a000008qvkaAAA","0","DataAssetSemanticGraphEdge","MXN","2023-02-11 17:44:38","0058a00000L2IR7AAN","2023-02-11 17:44:38","0058a00000L2IR7AAN","2023-02-11 17:44:38","dataset-field","0Fb8a0000015JDm","UserRoleId","sobject-field","User","UserRole","DatasetFieldToSObjectFieldReference","2","","","XMD","","Dataset Field Label","Id. de función","",""
"0m38a000008qvkbAAA","0","DataAssetSemanticGraphEdge","MXN","2023-02-11 17:44:48","0058a00000L2IR7AAN","2023-02-11 17:44:48","0058a00000L2IR7AAN","2023-02-11 17:44:48","lens","0FK8a000000Rrbl","","dataset-field","UsersWithRoles","SmallPhotoUrl","LensToDatasetFieldReference","3","","","","","0Fb8a0000015JDm","Users","0KV8a000036rc3l","Foto"
"0m38a000008qvkcAAA","0","DataAssetSemanticGraphEdge","MXN","2023-02-11 17:44:48","0058a00000L2IR7AAN","2023-02-11 17:44:48","0058a00000L2IR7AAN","2023-02-11 17:44:48","lens","0FK8a000000Rrbl","","dataset-field","UsersWithRoles","","LensToDatasetFieldReference","3","","","","","0Fb8a0000015JDm","Users","",""
"0m38a000008qvkdAAA","0","DataAssetSemanticGraphEdge","MXN","2023-02-11 17:44:48","0058a00000L2IR7AAN","2023-02-11 17:44:48","0058a00000L2IR7AAN","2023-02-11 17:44:48","lens","0FK8a000000Rrbl","","dataset-field","UsersWithRoles","Name","LensToDatasetFieldReference","3","","","","","0Fb8a0000015JDm","Users","0KV8a000036rc3s","Nombre completo"
"0m38a000008qvkeAAA","0","DataAssetSemanticGraphEdge","MXN","2023-02-11 17:44:48","0058a00000L2IR7AAN","2023-02-11 17:44:48","0058a00000L2IR7AAN","2023-02-11 17:44:48","lens","0FK8a000000Rrbl","","dataset-field","Activities","","LensToDatasetFieldReference","3","","","","","0Fb8a0000015JDl","Activities","",""
"0m38a000008qvkfAAA","0","DataAssetSemanticGraphEdge","MXN","2023-02-11 17:44:48","0058a00000L2IR7AAN","2023-02-11 17:44:48","0058a00000L2IR7AAN","2023-02-11 17:44:48","lens","0FK8a000000Rrbl","","dataset-field","Activities","Users.Person.Person_Name","LensToDatasetFieldReference","3","","","","","0Fb8a0000015JDl","Activities","0KV8a000036rc5j","User"
"0m38a000008qvkgAAA","0","DataAssetSemanticGraphEdge","MXN","2023-02-11 17:44:49","0058a00000L2IR7AAN","2023-02-11 17:44:49","0058a00000L2IR7AAN","2023-02-11 17:44:49","lens","0FK8a000000Rrbm","","dataset-field","Activities","RelatedOpportunities.Related_Name","LensToDatasetFieldReference","3","","","","","0Fb8a0000015JDl","Activities","0KV8a000036rc5f","Opportunity Name"
"0m38a000008qvkhAAA","0","DataAssetSemanticGraphEdge","MXN","2023-02-11 17:44:49","0058a00000L2IR7AAN","2023-02-11 17:44:49","0058a00000L2IR7AAN","2023-02-11 17:44:49","lens","0FK8a000000Rrbm","","dataset-field","UsersWithRoles","","LensToDatasetFieldReference","3","","","","","0Fb8a0000015JDm","Users","",""
"0m38a000008qvkiAAA","0","DataAssetSemanticGraphEdge","MXN","2023-02-11 17:44:49","0058a00000L2IR7AAN","2023-02-11 17:44:49","0058a00000L2IR7AAN","2023-02-11 17:44:49","lens","0FK8a000000Rrbm","","dataset-field","Activities","","LensToDatasetFieldReference","3","","","","","0Fb8a0000015JDl","Activities","",""
"0m38a000008qvkjAAA","0","DataAssetSemanticGraphEdge","MXN","2023-02-11 17:44:49","0058a00000L2IR7AAN","2023-02-11 17:44:49","0058a00000L2IR7AAN","2023-02-11 17:44:49","lens","0FK8a000000Rrbm","","dataset-field","Activities","Activity_Type","LensToDatasetFieldReference","3","","","","","0Fb8a0000015JDl","Activities","0KV8a000036rc5X","Activity Type"
"0m38a000008qvkkAAA","0","DataAssetSemanticGraphEdge","MXN","2023-02-11 17:44:49","0058a00000L2IR7AAN","2023-02-11 17:44:49","0058a00000L2IR7AAN","2023-02-11 17:44:49","lens","0FK8a000000Rrbm","","dataset-field","Activities","Users.Person.Person_Name","LensToDatasetFieldReference","3","","","","","0Fb8a0000015JDl","Activities","0KV8a000036rc5j","User"
"0m38a000008qvklAAA","0","DataAssetSemanticGraphEdge","MXN","2023-02-11 17:44:49","0058a00000L2IR7AAN","2023-02-11 17:44:49","0058a00000L2IR7AAN","2023-02-11 17:44:49","lens","0FK8a000000Rrbm","","dataset-field","Activities","Related.Related.Related_Type","LensToDatasetFieldReference","3","","","","","0Fb8a0000015JDl","Activities","0KV8a000036rc5k","Related Type"
"0m38a000008qvkmAAA","0","DataAssetSemanticGraphEdge","MXN","2023-02-11 17:44:49","0058a00000L2IR7AAN","2023-02-11 17:44:49","0058a00000L2IR7AAN","2023-02-11 17:44:49","lens","0FK8a000000Rrbm","","dataset-field","Activities","Accounts.Account.Name","LensToDatasetFieldReference","3","","","","","0Fb8a0000015JDl","Activities","0KV8a000036rc5T","Account Name"
"0m38a000008qvknAAA","0","DataAssetSemanticGraphEdge","MXN","2023-02-11 17:44:49","0058a00000L2IR7AAN","2023-02-11 17:44:49","0058a00000L2IR7AAN","2023-02-11 17:44:49","lens","0FK8a000000Rrbm","","dataset-field","UsersWithRoles","Name","LensToDatasetFieldReference","3","","","","","0Fb8a0000015JDm","Users","0KV8a000036rc3s","Nombre completo"
"0m38a000008qvkoAAA","0","DataAssetSemanticGraphEdge","MXN","2023-02-11 17:44:49","0058a00000L2IR7AAN","2023-02-11 17:44:49","0058a00000L2IR7AAN","2023-02-11 17:44:49","lens","0FK8a000000Rrbm","","dataset-field","UsersWithRoles","SmallPhotoUrl","LensToDatasetFieldReference","3","","","","","0Fb8a0000015JDm","Users","0KV8a000036rc3l","Foto"
"0m38a000008qvlDAAQ","0","DataAssetSemanticGraphEdge","MXN","2023-02-11 18:20:34","0058a00000L2IR7AAN","2023-02-11 18:20:34","0058a00000L2IR7AAN","2023-02-11 18:20:34","dataset-field","0Fb8a0000015JEF","Id","sobject-field","Period","Id","DatasetFieldToSObjectFieldReference","2","","","XMD","","Dataset Field Label","Id. del período","",""
"0m38a000008qvlEAAQ","0","DataAssetSemanticGraphEdge","MXN","2023-02-11 18:20:34","0058a00000L2IR7AAN","2023-02-11 18:20:34","0058a00000L2IR7AAN","2023-02-11 18:20:34","dataset-field","0Fb8a0000015JEF","FullyQualifiedLabel","sobject-field","Period","FullyQualifiedLabel","DatasetFieldToSObjectFieldReference","2","","","XMD","","Dataset Field Label","Etiqueta completamente cualificada","",""
"0m38a000008qvlFAAQ","0","DataAssetSemanticGraphEdge","MXN","2023-02-11 18:20:34","0058a00000L2IR7AAN","2023-02-11 18:20:34","0058a00000L2IR7AAN","2023-02-11 18:20:34","dataset-field","0Fb8a0000015JEF","","sobject-field","Period","","DatasetFieldToSObjectFieldReference","2","","","XMD","","Dataset Field Label","","",""
"0m38a000008qvlGAAQ","0","DataAssetSemanticGraphEdge","MXN","2023-02-11 18:20:34","0058a00000L2IR7AAN","2023-02-11 18:20:34","0058a00000L2IR7AAN","2023-02-11 18:20:34","dataset-field","0Fb8a0000015JEF","Fecha de finalización","sobject-field","Period","EndDate","DatasetFieldToSObjectFieldReference","2","","","XMD","","Dataset Field Label","Fecha de finalización","",""
"0m38a000008qvlHAAQ","0","DataAssetSemanticGraphEdge","MXN","2023-02-11 18:20:34","0058a00000L2IR7AAN","2023-02-11 18:20:34","0058a00000L2IR7AAN","2023-02-11 18:20:34","dataset-field","0Fb8a0000015JEF","Type","sobject-field","Period","Type","DatasetFieldToSObjectFieldReference","2","","","XMD","","Dataset Field Label","Tipo","",""
"0m38a000008qvlIAAQ","0","DataAssetSemanticGraphEdge","MXN","2023-02-11 18:20:34","0058a00000L2IR7AAN","2023-02-11 18:20:34","0058a00000L2IR7AAN","2023-02-11 18:20:34","dataset-field","0Fb8a0000015JEF","Fecha de inicio","sobject-field","Period","StartDate","DatasetFieldToSObjectFieldReference","2","","","XMD","","Dataset Field Label","Fecha de inicio","",""
