"Id","RelationId","EventId","ChildEventId","IsWhat","IsParent","IsInvitee","AccountId","Status","RespondedDate","Response","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","IsDeleted"
"0RE8a00000LIqwhGAD","0058a00000MNWtKAAX","00U8a00000pGH22EAG","","0","0","0","","","","","2023-01-18 14:28:45","0058a00000MNWtKAAX","2023-01-18 14:28:45","0058a00000MNWtKAAX","2023-01-18 14:28:45","0"
"0RE8a00000LIqwiGAD","0038a00003A16dsAAB","00U8a00000pGH22EAG","","0","1","0","0018a000024zBDZAA2","","","","2023-01-18 14:28:45","0058a00000MNWtKAAX","2023-01-18 14:28:45","0058a00000MNWtKAAX","2023-01-18 14:28:45","0"
"0RE8a00000LIqwjGAD","0018a000024zBDZAA2","00U8a00000pGH22EAG","","1","1","0","0018a000024zBDZAA2","","","","2023-01-18 14:28:45","0058a00000MNWtKAAX","2023-01-18 14:28:45","0058a00000MNWtKAAX","2023-01-18 14:28:45","0"
"0RE8a00000LItY2GAL","0058a00000MNWtKAAX","00U8a00000pGJfpEAG","","0","0","0","","","","","2023-01-18 20:49:34","0058a00000MNWtKAAX","2023-01-18 20:49:34","0058a00000MNWtKAAX","2023-01-18 20:49:34","0"
"0RE8a00000LItY3GAL","0038a00003A1AmBAAV","00U8a00000pGJfpEAG","","0","1","0","0018a000024zB8PAAU","","","","2023-01-18 20:49:34","0058a00000MNWtKAAX","2023-01-18 20:49:34","0058a00000MNWtKAAX","2023-01-18 20:49:34","0"
"0RE8a00000LItY4GAL","0018a000024zB8PAAU","00U8a00000pGJfpEAG","","1","1","0","0018a000024zB8PAAU","","","","2023-01-18 20:49:34","0058a00000MNWtKAAX","2023-01-18 20:49:34","0058a00000MNWtKAAX","2023-01-18 20:49:34","0"
"0RE8a00000LItaUGAT","0058a00000MNWtKAAX","00U8a00000pGJhgEAG","","0","0","0","","","","","2023-01-18 20:54:44","0058a00000MNWtKAAX","2023-01-18 20:54:44","0058a00000MNWtKAAX","2023-01-18 20:54:44","0"
"0RE8a00000LItaVGAT","0038a00003A1ApZAAV","00U8a00000pGJhgEAG","","0","1","0","0018a0000251ASKAA2","","","","2023-01-18 20:54:44","0058a00000MNWtKAAX","2023-01-18 20:54:44","0058a00000MNWtKAAX","2023-01-18 20:54:44","0"
"0RE8a00000LItaWGAT","0018a0000251ASKAA2","00U8a00000pGJhgEAG","","1","1","0","0018a0000251ASKAA2","","","","2023-01-18 20:54:44","0058a00000MNWtKAAX","2023-01-18 20:54:44","0058a00000MNWtKAAX","2023-01-18 20:54:44","0"
"0RE8a00000LJ4K7GAL","0058a00000MNWtKAAX","00U8a00000pGTxaEAG","","0","0","0","","","","","2023-01-21 12:55:49","0058a00000MNWtKAAX","2023-01-21 12:55:49","0058a00000MNWtKAAX","2023-01-23 20:01:29","0"
"0RE8a00000LJ4K8GAL","0038a00003A0xTfAAJ","00U8a00000pGTxaEAG","","0","1","0","0018a000024zJ4rAAE","","","","2023-01-21 12:55:49","0058a00000MNWtKAAX","2023-01-21 12:55:49","0058a00000MNWtKAAX","2023-01-23 20:01:29","0"
"0RE8a00000LJ4K9GAL","0068a00001M5NgzAAF","00U8a00000pGTxaEAG","","1","1","0","0018a000024zJ4rAAE","","","","2023-01-21 12:55:49","0058a00000MNWtKAAX","2023-01-21 12:55:49","0058a00000MNWtKAAX","2023-01-23 20:01:29","0"
"0RE8a00000LKsSQGA1","0058a00000MNWtKAAX","00U8a00000qEJhvEAG","","0","0","0","","","","","2023-01-30 17:34:05","0058a00000MNWtKAAX","2023-01-30 17:34:05","0058a00000MNWtKAAX","2023-01-30 17:34:05","0"
"0RE8a00000LKsSRGA1","0038a00003A0xXDAAZ","00U8a00000qEJhvEAG","","0","1","0","0018a000024zBBFAA2","","","","2023-01-30 17:34:05","0058a00000MNWtKAAX","2023-01-30 17:34:05","0058a00000MNWtKAAX","2023-01-30 17:34:05","0"
"0RE8a00000LKsSSGA1","0068a00001M8hsGAAR","00U8a00000qEJhvEAG","","1","1","0","0018a000024zJCCAA2","","","","2023-01-30 17:34:05","0058a00000MNWtKAAX","2023-01-30 17:34:05","0058a00000MNWtKAAX","2023-01-30 17:34:05","0"
"0RE8a00000LKsTTGA1","0058a00000MNWtKAAX","00U8a00000qEJitEAG","","0","0","0","","","","","2023-01-30 17:34:58","0058a00000MNWtKAAX","2023-01-30 17:34:58","0058a00000MNWtKAAX","2023-01-30 17:34:58","0"
"0RE8a00000LKsTUGA1","0038a00003A0xXDAAZ","00U8a00000qEJitEAG","","0","1","0","0018a000024zBBFAA2","","","","2023-01-30 17:34:58","0058a00000MNWtKAAX","2023-01-30 17:34:58","0058a00000MNWtKAAX","2023-01-30 17:34:58","0"
"0RE8a00000LKsTVGA1","0068a00001M8hsBAAR","00U8a00000qEJitEAG","","1","1","0","0018a000024zJCCAA2","","","","2023-01-30 17:34:58","0058a00000MNWtKAAX","2023-01-30 17:34:58","0058a00000MNWtKAAX","2023-01-30 17:34:58","0"
"0RE8a00000LKsTdGAL","0058a00000MNWtKAAX","00U8a00000qEJj3EAG","","0","0","0","","","","","2023-01-30 17:35:29","0058a00000MNWtKAAX","2023-01-30 17:35:29","0058a00000MNWtKAAX","2023-01-30 17:35:29","0"
