"Id","FeedItemId","FieldName","DataType","OldValueString","NewValueString","OldValueFirstName","NewValueFirstName","OldValueLastName","NewValueLastName","OldValueNumber","NewValueNumber","OldValueDate","NewValueDate"
"0D68a0000EYULbxCQH","0D58a00008DARo3CAH","feedEvent","Text","","","","","","","","","",""
"0D68a0000EYULbyCQH","0D58a00008DARo3CAH","Subject","DynamicEnum","","First Call","","","","","","","",""
"0D68a0000EYULbzCQH","0D58a00008DARo3CAH","Location","Text","","Conference Call: 800-555-0890;198204#","","","","","","","",""
"0D68a0000EYULc0CQH","0D58a00008DARo3CAH","StartDateTime","DateTime","","","","","","","","","","2022-05-18 16:00:00"
"0D68a0000EYULc1CQH","0D58a00008DARo3CAH","EndDateTime","DateTime","","","","","","","","","","2022-05-18 17:00:00"
"0D68a0000EYULc2CQH","0D58a00008DARo3CAH","__RecordType__","Text","","","","","","","","","",""
"0D68a0000EYULc3CQH","0D58a00008AwVPHCA3","feedEvent","Text","","","","","","","","","",""
"0D68a0000EYULc4CQH","0D58a00008AwVPHCA3","Subject","DynamicEnum","","Demo Platform Widgets","","","","","","","",""
"0D68a0000EYULc5CQH","0D58a00008AwVPHCA3","Location","Text","","Conference Call: 800-555-0890;198204#","","","","","","","",""
"0D68a0000EYULc6CQH","0D58a00008AwVPHCA3","StartDateTime","DateTime","","","","","","","","","","2022-05-11 18:30:00"
"0D68a0000EYULc7CQH","0D58a00008AwVPHCA3","EndDateTime","DateTime","","","","","","","","","","2022-05-11 19:30:00"
"0D68a0000EYULc8CQH","0D58a00008AwVPHCA3","__RecordType__","Text","","","","","","","","","",""
"0D68a0000EYULc9CQH","0D58a00008AwVPICA3","feedEvent","Text","","","","","","","","","",""
"0D68a0000EYULcACQX","0D58a00008AwVPICA3","Subject","DynamicEnum","","Email: Introduction","","","","","","","",""
"0D68a0000EYULcBCQX","0D58a00008AwVPICA3","Who","EntityId","","0038a00002sMKCh","","","","","","","",""
"0D68a0000EYULcCCQX","0D58a00008AwVPICA3","Who","Text","","","","Howard","","Jones (Sample)","","","",""
"0D68a0000EYULcDCQX","0D58a00008AwVPICA3","What","EntityId","","0068a00001HFDN7","","","","","","","",""
"0D68a0000EYULcECQX","0D58a00008AwVPICA3","What","Text","","Acme - 600 Widgets (Sample)","","","","","","","",""
"0D68a0000EYULcFCQX","0D58a00008AwVPICA3","__RecordType__","Text","","","","","","","","","",""
"0D68a0000EYULcGCQX","0D58a00008AwVPJCA3","feedEvent","Text","","","","","","","","","",""
"0D68a0000EYULcHCQX","0D58a00008AwVPJCA3","Subject","DynamicEnum","","Email Carole to propose an agenda","","","","","","","",""
"0D68a0000EYULcICQX","0D58a00008AwVPJCA3","Who","EntityId","","0038a00002sMKCe","","","","","","","",""
"0D68a0000EYULcJCQX","0D58a00008AwVPJCA3","Who","Text","","","","Carole","","White (Sample)","","","",""
"0D68a0000EYULcKCQX","0D58a00008AwVPJCA3","What","EntityId","","0068a00001HFDN3","","","","","","","",""
"0D68a0000EYULcLCQX","0D58a00008AwVPJCA3","What","Text","","Global Media - 500 Widgets (Sample)","","","","","","","",""
"0D68a0000EYULcMCQX","0D58a00008AwVPJCA3","__RecordType__","Text","","","","","","","","","",""
"0D68a0000EYULcNCQX","0D58a00008AwVPKCA3","feedEvent","Text","","","","","","","","","",""
"0D68a0000EYULcOCQX","0D58a00008AwVPKCA3","Subject","DynamicEnum","","Sync with Leanne about conference attendance","","","","","","","",""
"0D68a0000EYULcPCQX","0D58a00008AwVPKCA3","Who","EntityId","","0038a00002sMKCg","","","","","","","",""
"0D68a0000EYULcQCQX","0D58a00008AwVPKCA3","Who","Text","","","","Leanne","","Tomlin (Sample)","","","",""
"0D68a0000EYULcRCQX","0D58a00008AwVPKCA3","What","EntityId","","0018a00001ouu9y","","","","","","","",""
"0D68a0000EYULcSCQX","0D58a00008AwVPKCA3","What","Text","","Acme (Sample)","","","","","","","",""
"0D68a0000EYULcTCQX","0D58a00008AwVPKCA3","__RecordType__","Text","","","","","","","","","",""
"0D68a0000EYULcUCQX","0D58a00008AwVPLCA3","feedEvent","Text","","","","","","","","","",""
"0D68a0000EYULcVCQX","0D58a00008AwVPLCA3","Subject","DynamicEnum","","Call Geoff to discuss feedback","","","","","","","",""
"0D68a0000EYULcWCQX","0D58a00008AwVPLCA3","Who","EntityId","","0038a00002sMKCf","","","","","","","",""
"0D68a0000EYULcXCQX","0D58a00008AwVPLCA3","Who","Text","","","","Geoff","","Minor (Sample)","","","",""
"0D68a0000EYULcYCQX","0D58a00008AwVPLCA3","What","EntityId","","0068a00001HFDN3","","","","","","","",""
"0D68a0000EYULcZCQX","0D58a00008AwVPLCA3","What","Text","","Global Media - 500 Widgets (Sample)","","","","","","","",""
"0D68a0000EYULcaCQH","0D58a00008AwVPLCA3","__RecordType__","Text","","","","","","","","","",""
"0D68a0000EYULcbCQH","0D58a00008AwVPMCA3","feedEvent","Text","","","","","","","","","",""
"0D68a0000EYULccCQH","0D58a00008AwVPMCA3","Subject","DynamicEnum","","Discuss partnership opportunities","","","","","","","",""
"0D68a0000EYULcdCQH","0D58a00008AwVPMCA3","Who","EntityId","","0038a00002sMKCi","","","","","","","",""
"0D68a0000EYULceCQH","0D58a00008AwVPMCA3","Who","Text","","","","Marc","","Benioff (Sample)","","","",""
"0D68a0000EYULcfCQH","0D58a00008AwVPMCA3","What","EntityId","","0018a00001ouuA0","","","","","","","",""
"0D68a0000EYULcgCQH","0D58a00008AwVPMCA3","What","Text","","salesforce.com (Sample)","","","","","","","",""
"0D68a0000EYULchCQH","0D58a00008AwVPMCA3","__RecordType__","Text","","","","","","","","","",""
"0D68a0000EYULciCQH","0D58a00008AwVPNCA3","feedEvent","Text","","","","","","","","","",""
"0D68a0000EYULcjCQH","0D58a00008AwVPNCA3","Subject","DynamicEnum","","Discuss latest marketing whitepaper","","","","","","","",""
"0D68a0000EYULckCQH","0D58a00008AwVPNCA3","Who","EntityId","","0038a00002sMKCg","","","","","","","",""
"0D68a0000EYULclCQH","0D58a00008AwVPNCA3","Who","Text","","","","Leanne","","Tomlin (Sample)","","","",""
"0D68a0000EYULcmCQH","0D58a00008AwVPNCA3","What","EntityId","","0018a00001ouu9y","","","","","","","",""
"0D68a0000EYULcnCQH","0D58a00008AwVPNCA3","What","Text","","Acme (Sample)","","","","","","","",""
"0D68a0000EYULcoCQH","0D58a00008AwVPNCA3","__RecordType__","Text","","","","","","","","","",""
"0D68a0000EYULcpCQH","0D58a00008AwVPOCA3","feedEvent","Text","","","","","","","","","",""
"0D68a0000EYULcqCQH","0D58a00008AwVPOCA3","Subject","DynamicEnum","","Review use cases","","","","","","","",""
"0D68a0000EYULcrCQH","0D58a00008AwVPOCA3","Who","EntityId","","0038a00002sMKCg","","","","","","","",""
"0D68a0000EYULcsCQH","0D58a00008AwVPOCA3","Who","Text","","","","Leanne","","Tomlin (Sample)","","","",""
"0D68a0000EYULctCQH","0D58a00008AwVPOCA3","What","EntityId","","0018a00001ouu9y","","","","","","","",""
"0D68a0000EYULcuCQH","0D58a00008AwVPOCA3","What","Text","","Acme (Sample)","","","","","","","",""
"0D68a0000EYULcvCQH","0D58a00008AwVPOCA3","__RecordType__","Text","","","","","","","","","",""
"0D68a0000EYULcwCQH","0D58a00008AwVPPCA3","feedEvent","Text","","","","","","","","","",""
"0D68a0000EYULcxCQH","0D58a00008AwVPPCA3","Subject","DynamicEnum","","Sync with Geoff","","","","","","","",""
"0D68a0000EYULcyCQH","0D58a00008AwVPPCA3","Who","EntityId","","0038a00002sMKCf","","","","","","","",""
"0D68a0000EYULczCQH","0D58a00008AwVPPCA3","Who","Text","","","","Geoff","","Minor (Sample)","","","",""
"0D68a0000EYULd0CQH","0D58a00008AwVPPCA3","What","EntityId","","0068a00001HFDN3","","","","","","","",""
"0D68a0000EYULd1CQH","0D58a00008AwVPPCA3","What","Text","","Global Media - 500 Widgets (Sample)","","","","","","","",""
"0D68a0000EYULd2CQH","0D58a00008AwVPPCA3","__RecordType__","Text","","","","","","","","","",""
"0D68a0000EYULd3CQH","0D58a00008AwVPQCA3","feedEvent","Text","","","","","","","","","",""
"0D68a0000EYULd4CQH","0D58a00008AwVPQCA3","Subject","DynamicEnum","","Get signoff from Leanne","","","","","","","",""
"0D68a0000EYULd5CQH","0D58a00008AwVPQCA3","Who","EntityId","","0038a00002sMKCg","","","","","","","",""
"0D68a0000EYULd6CQH","0D58a00008AwVPQCA3","Who","Text","","","","Leanne","","Tomlin (Sample)","","","",""
"0D68a0000EYULd7CQH","0D58a00008AwVPQCA3","What","EntityId","","0018a00001ouu9y","","","","","","","",""
"0D68a0000EYULd8CQH","0D58a00008AwVPQCA3","What","Text","","Acme (Sample)","","","","","","","",""
"0D68a0000EYULd9CQH","0D58a00008AwVPQCA3","__RecordType__","Text","","","","","","","","","",""
"0D68a0000EYULdACQX","0D58a00008AwVPRCA3","feedEvent","Text","","","","","","","","","",""
"0D68a0000EYULdBCQX","0D58a00008AwVPSCA3","feedEvent","Text","","","","","","","","","",""
"0D68a0000EYULdCCQX","0D58a00008AwVPTCA3","feedEvent","Text","","","","","","","","","",""
"0D68a0000EYULdDCQX","0D58a00008AwVPTCA3","Subject","DynamicEnum","","Sync Up (Sample)","","","","","","","",""
"0D68a0000EYULdECQX","0D58a00008AwVPTCA3","Who","EntityId","","00Q8a00001qbM1H","","","","","","","",""
"0D68a0000EYULdFCQX","0D58a00008AwVPTCA3","Who","Text","","","","Sarah","","Loehr (Sample)","","","",""
"0D68a0000EYULdGCQX","0D58a00008AwVPTCA3","What","EntityId","","","","","","","","","",""
"0D68a0000EYULdHCQX","0D58a00008AwVPTCA3","What","EntityId","","","","","","","","","",""
"0D68a0000EYULdICQX","0D58a00008AwVPTCA3","__RecordType__","Text","","","","","","","","","",""
"0D68a0000EYULdJCQX","0D58a00008AwVPUCA3","feedEvent","Text","","","","","","","","","",""
"0D68a0000EYULdKCQX","0D58a00008AwVPVCA3","feedEvent","Text","","","","","","","","","",""
"0D68a0000EYULdLCQX","0D58a00008AwVPVCA3","Subject","DynamicEnum","","Review Pricing Proposal (sample)","","","","","","","",""
"0D68a0000EYULdMCQX","0D58a00008AwVPVCA3","Who","EntityId","","0038a00002sMKCe","","","","","","","",""
"0D68a0000EYULdNCQX","0D58a00008AwVPVCA3","Who","Text","","","","Carole","","White (Sample)","","","",""
"0D68a0000EYULdOCQX","0D58a00008AwVPVCA3","What","EntityId","","","","","","","","","",""
"0D68a0000EYULdPCQX","0D58a00008AwVPVCA3","What","EntityId","","","","","","","","","",""
"0D68a0000EYULdQCQX","0D58a00008AwVPVCA3","__RecordType__","Text","","","","","","","","","",""
"0D68a0000EYULdRCQX","0D58a00008AwVPWCA3","feedEvent","Text","","","","","","","","","",""
"0D68a0000EYULdSCQX","0D58a00008AwVPWCA3","Subject","DynamicEnum","","Call Jon for feedback (sample)","","","","","","","",""
"0D68a0000EYULdTCQX","0D58a00008AwVPWCA3","Who","EntityId","","0038a00002sMKCd","","","","","","","",""
"0D68a0000EYULdUCQX","0D58a00008AwVPWCA3","Who","Text","","","","Jon","","Amos (Sample)","","","",""
"0D68a0000EYULdVCQX","0D58a00008AwVPWCA3","What","EntityId","","","","","","","","","",""
"0D68a0000EYULdWCQX","0D58a00008AwVPWCA3","What","EntityId","","","","","","","","","",""
"0D68a0000EYULdXCQX","0D58a00008AwVPWCA3","__RecordType__","Text","","","","","","","","","",""
"0D68a0000EYULdYCQX","0D58a00008AwVPXCA3","feedEvent","Text","","","","","","","","","",""
"0D68a0000EYULdZCQX","0D58a00008AwVPXCA3","Subject","DynamicEnum","","Send latest whitepaper (Sample)","","","","","","","",""
"0D68a0000EYULdaCQH","0D58a00008AwVPXCA3","Who","EntityId","","0038a00002sMKCf","","","","","","","",""
"0D68a0000EYULdbCQH","0D58a00008AwVPXCA3","Who","Text","","","","Geoff","","Minor (Sample)","","","",""
"0D68a0000EYULdcCQH","0D58a00008AwVPXCA3","What","EntityId","","","","","","","","","",""
"0D68a0000EYULddCQH","0D58a00008AwVPXCA3","What","EntityId","","","","","","","","","",""
"0D68a0000EYULdeCQH","0D58a00008AwVPXCA3","__RecordType__","Text","","","","","","","","","",""
"0D68a0000GtomXbCQI","0D58a00009AHPquCAH","feedEvent","Text","","","","","","","","","",""
"0D68a0000GtonhTCQQ","0D58a00009AHQKlCAP","feedEvent","Text","","","","","","","","","",""
"0D68a0000GtonhUCQQ","0D58a00009AHQKlCAP","Subject","DynamicEnum","","Enviar correo de seguimiento para piloto","","","","","","","",""
"0D68a0000GtonhVCQQ","0D58a00009AHQKlCAP","Who","EntityId","","0038a00003A0xTf","","","","","","","",""
"0D68a0000GtonhWCQQ","0D58a00009AHQKlCAP","Who","Text","","","","Alejandra","","Marmol","","","",""
"0D68a0000Gtoqv0CQA","0D58a00009AHQKlCAP","What","EntityId","","0068a00001M5Ngz","","","","","","","",""
"0D68a0000Gtoqv1CQA","0D58a00009AHQKlCAP","What","Text","","ALPINA PILOT","","","","","","","",""
"0D68a0000Gtoqv2CQA","0D58a00009AHQKlCAP","__RecordType__","Text","","","","","","","","","",""
"0D68a0000GuYcAECQ0","0D58a00009AKJF1CAP","feedEvent","Text","","","","","","","","","",""
"0D68a0000GuYcAFCQ0","0D58a00009AKJF1CAP","Subject","DynamicEnum","","Presentación Equipo Nestlé","","","","","","","",""
"0D68a0000GuYePMCQ0","0D58a00009AKJF1CAP","Location","Text","","Mc Cann Erickson   Edificio YOO","","","","","","","",""
"0D68a0000GuYePNCQ0","0D58a00009AKJF1CAP","StartDateTime","DateTime","","","","","","","","","","2023-01-18 15:00:00"
"0D68a0000GuYePOCQ0","0D58a00009AKJF1CAP","EndDateTime","DateTime","","","","","","","","","","2023-01-18 16:00:00"
"0D68a0000GuYePPCQ0","0D58a00009AKJF1CAP","__RecordType__","Text","","","","","","","","","",""
"0D68a0000GuvFQeCQM","0D58a00009AKwi4CAD","feedEvent","Text","","","","","","","","","",""
"0D68a0000GuvFQfCQM","0D58a00009AKwi4CAD","Subject","DynamicEnum","","Envío de Convenio","","","","","","","",""
"0D68a0000GuvFQgCQM","0D58a00009AKwi4CAD","Who","EntityId","","0038a00003A1AYE","","","","","","","",""
"0D68a0000GuvFQhCQM","0D58a00009AKwi4CAD","Who","Text","","","","Luis","","Cajas","","","",""
"0D68a0000GuvGTfCQM","0D58a00009AKx8JCAT","feedEvent","Text","","","","","","","","","",""
"0D68a0000GuvGTgCQM","0D58a00009AKx8JCAT","Subject","DynamicEnum","","Seguimiento Contacto Havas GYE - Galo Carvajal","","","","","","","",""
"0D68a0000GuvGxsCQE","0D58a00009AKwi4CAD","What","EntityId","","0018a000024zBBG","","","","","","","",""
"0D68a0000GuvGxtCQE","0D58a00009AKwi4CAD","What","Text","","Havas Plus","","","","","","","",""
"0D68a0000GuvGxuCQE","0D58a00009AKwi4CAD","__RecordType__","Text","","","","","","","","","",""
"0D68a0000GuvH6zCQE","0D58a00009AKxLcCAL","feedEvent","Text","","","","","","","","","",""
"0D68a0000GuvH70CQE","0D58a00009AKxLcCAL","Subject","DynamicEnum","","Seguimiento Convenio Enviado","","","","","","","",""
"0D68a0000GuvH71CQE","0D58a00009AKxLcCAL","Who","EntityId","","0038a00003A1AYE","","","","","","","",""
"0D68a0000GuvH8TCQU","0D58a00009AKxLcCAL","Who","Text","","","","Luis","","Cajas","","","",""
"0D68a0000GuvH8UCQU","0D58a00009AKxLcCAL","What","EntityId","","0018a000024zBBG","","","","","","","",""
"0D68a0000GuvH8VCQU","0D58a00009AKxLcCAL","What","Text","","Havas Plus","","","","","","","",""
