"Id","PeriodId","Name","IsStandardYear","YearType","QuarterLabelScheme","PeriodLabelScheme","WeekLabelScheme","QuarterPrefix","PeriodPrefix","WeekStartDay","Description","SystemModstamp"
"0228a000000GrPYAA0","0268a00000195ccAAA","2027","1","Standard","NumberByYear","StandardMonths","NumberByYear","Quarter","Period","","","2023-01-03 18:42:36"
"0228a000000PFBjAAO","0268a000001HRf3AAG","2023","1","Standard","NumberByYear","StandardMonths","NumberByYear","Quarter","Period","","","2022-07-28 16:57:43"
"0228a000000PFBkAAO","0268a000001HRfKAAW","2024","1","Standard","NumberByYear","StandardMonths","NumberByYear","Quarter","Period","","","2022-07-28 16:57:43"
"0228a000000PFBlAAO","0268a000001HRfbAAG","2025","1","Standard","NumberByYear","StandardMonths","NumberByYear","Quarter","Period","","","2022-07-28 16:57:43"
"0228a000000PFBmAAO","0268a000001HRfsAAG","2026","1","Standard","NumberByYear","StandardMonths","NumberByYear","Quarter","Period","","","2022-07-28 16:57:43"
"0228a000000wmjVAAQ","0268a0000021catAAA","2021","1","Standard","NumberByYear","StandardMonths","NumberByYear","Quarter","Period","","","2022-05-25 20:38:02"
"0228a000000wmjWAAQ","0268a0000021calAAA","2020","1","Standard","NumberByYear","StandardMonths","NumberByYear","Quarter","Period","","","2022-05-25 20:38:02"
"0228a000000wmjXAAQ","0268a0000021caeAAA","2019","1","Standard","NumberByYear","StandardMonths","NumberByYear","Quarter","Period","","","2022-05-25 20:38:02"
"0228a000000wmjYAAQ","0268a0000021cZIAAY","2018","1","Standard","NumberByYear","StandardMonths","NumberByYear","Quarter","Period","","","2022-05-25 20:38:02"
"0228a000000wmjZAAQ","0268a0000021cZ5AAI","2017","1","Standard","NumberByYear","StandardMonths","NumberByYear","Quarter","Period","","","2022-05-25 20:38:02"
"0228a000000wmjaAAA","0268a0000021cZkAAI","2016","1","Standard","NumberByYear","StandardMonths","NumberByYear","Quarter","Period","","","2022-05-25 20:38:02"
"0228a000000wmjbAAA","0268a0000021cZSAAY","2014","1","Standard","NumberByYear","StandardMonths","NumberByYear","Quarter","Period","","","2022-05-25 20:38:02"
"0228a000000wmjcAAA","0268a0000021cZfAAI","2015","1","Standard","NumberByYear","StandardMonths","NumberByYear","Quarter","Period","","","2022-05-25 20:38:02"
"0228a000000wmjdAAA","0268a0000021cZsAAI","2010","1","Standard","NumberByYear","StandardMonths","NumberByYear","Quarter","Period","","","2022-05-25 20:38:02"
"0228a000000wmjeAAA","0268a0000021ca5AAA","2011","1","Standard","NumberByYear","StandardMonths","NumberByYear","Quarter","Period","","","2022-05-25 20:38:02"
"0228a000000wmjfAAA","0268a0000021caaAAA","2013","1","Standard","NumberByYear","StandardMonths","NumberByYear","Quarter","Period","","","2022-05-25 20:38:02"
"0228a000000wmjgAAA","0268a0000021caLAAQ","2012","1","Standard","NumberByYear","StandardMonths","NumberByYear","Quarter","Period","","","2022-05-25 20:38:02"
"0228a000000wmjhAAA","0268a0000021cb3AAA","2022","1","Standard","NumberByYear","StandardMonths","NumberByYear","Quarter","Period","","","2022-05-25 20:38:02"
