"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","DateStartInterval","IntervalDays","FeedElementId","Parent","ItemCount","NetworkScope"
"0OD8a000000KpUjGAK","0","00000008","2023-01-22 14:12:21","0058a00000L2IR7AAN","2023-01-22 14:12:21","0058a00000L2IR7AAN","2023-01-22 14:12:21","2023-01-22 00:00:00","7","0D58a00009AHRK9CAP","0038a00003A0xTf","6","I"
"0OD8a000000KpUkGAK","0","00000009","2023-01-22 14:12:21","0058a00000L2IR7AAN","2023-01-22 14:12:21","0058a00000L2IR7AAN","2023-01-22 14:12:21","2023-01-22 00:00:00","7","0D58a00009AqxvnCAB","0068a00001M7w4n","3","I"
"0OD8a000000KpUrGAK","0","00000011","2023-01-22 14:12:21","0058a00000L2IR7AAN","2023-01-22 14:12:21","0058a00000L2IR7AAN","2023-01-22 14:12:21","2023-01-22 00:00:00","7","0D58a00009AKJF1CAP","00U8a00000pGH22","1","I"
"0OD8a000000KpUsGAK","0","00000012","2023-01-22 14:12:21","0058a00000L2IR7AAN","2023-01-22 14:12:21","0058a00000L2IR7AAN","2023-01-22 14:12:21","2023-01-22 00:00:00","7","0D58a00009AKwi4CAD","00T8a000081hIcI","1","I"
"0OD8a000000KpUtGAK","0","00000013","2023-01-22 14:12:21","0058a00000L2IR7AAN","2023-01-22 14:12:21","0058a00000L2IR7AAN","2023-01-22 14:12:21","2023-01-22 00:00:00","7","0D58a00009AKx8JCAT","00T8a000081hH2W","1","I"
"0OD8a000000KpUuGAK","0","00000014","2023-01-22 14:12:21","0058a00000L2IR7AAN","2023-01-22 14:12:21","0058a00000L2IR7AAN","2023-01-22 14:12:21","2023-01-22 00:00:00","7","0D58a00009AKxLcCAL","00T8a000081hIdf","1","I"
"0OD8a000000KpUvGAK","0","00000015","2023-01-22 14:12:21","0058a00000L2IR7AAN","2023-01-22 14:12:21","0058a00000L2IR7AAN","2023-01-22 14:12:21","2023-01-22 00:00:00","7","0D58a00009AKzGyCAL","00T8a000081hK1z","1","I"
"0OD8a000000KpUwGAK","0","00000016","2023-01-22 14:12:21","0058a00000L2IR7AAN","2023-01-22 14:12:21","0058a00000L2IR7AAN","2023-01-22 14:12:21","2023-01-22 00:00:00","7","0D58a00009AKzmWCAT","00U8a00000pGJfp","1","I"
"0OD8a000000KpUxGAK","0","00000017","2023-01-22 14:12:21","0058a00000L2IR7AAN","2023-01-22 14:12:21","0058a00000L2IR7AAN","2023-01-22 14:12:21","2023-01-22 00:00:00","7","0D58a00009AL2JbCAL","00U8a00000pGJhg","1","I"
"0OD8a000000KpUyGAK","0","00000018","2023-01-22 14:12:21","0058a00000L2IR7AAN","2023-01-22 14:12:21","0058a00000L2IR7AAN","2023-01-22 14:12:21","2023-01-22 00:00:00","7","0D58a00009Aqx9ECAR","00T8a000081jGxX","1","I"
"0OD8a000000KpV0GAK","0","00000020","2023-01-22 14:12:21","0058a00000L2IR7AAN","2023-01-22 14:12:21","0058a00000L2IR7AAN","2023-01-22 14:12:21","2023-01-22 00:00:00","7","0D58a00009Bqv8HCAR","00U8a00000pGTxa","1","I"
"0OD8a000000KpV5GAK","0","00000025","2023-01-22 14:12:21","0058a00000L2IR7AAN","2023-01-22 14:12:21","0058a00000L2IR7AAN","2023-01-22 14:12:21","2023-01-22 00:00:00","7","0D58a00009BqvPqCAJ","00T8a000081k7Oh","1","I"
"0OD8a000000KpV6GAK","0","00000026","2023-01-22 14:12:21","0058a00000L2IR7AAN","2023-01-22 14:12:21","0058a00000L2IR7AAN","2023-01-22 14:12:21","2023-01-22 00:00:00","7","0D58a00009BqvPrCAJ","00T8a000081k7Oi","1","I"
"0OD8a000000KpV8GAK","0","00000028","2023-01-22 14:12:21","0058a00000L2IR7AAN","2023-01-22 14:12:21","0058a00000L2IR7AAN","2023-01-22 14:12:21","2023-01-22 00:00:00","7","0D58a00009BqvjyCAB","00T8a000081k7j4","1","I"
"0OD8a000000KpV9GAK","0","00000029","2023-01-22 14:12:21","0058a00000L2IR7AAN","2023-01-22 14:12:21","0058a00000L2IR7AAN","2023-01-22 14:12:21","2023-01-22 00:00:00","7","0D58a00009Bqw7ZCAR","00T8a000081k7kM","1","I"
"0OD8a000000KpVAGA0","0","00000030","2023-01-22 14:12:21","0058a00000L2IR7AAN","2023-01-22 14:12:21","0058a00000L2IR7AAN","2023-01-22 14:12:21","2023-01-22 00:00:00","7","0D58a00009Bqw7aCAB","00T8a000081k7kN","1","I"
"0OD8a000000KpVBGA0","0","00000031","2023-01-22 14:12:21","0058a00000L2IR7AAN","2023-01-22 14:12:21","0058a00000L2IR7AAN","2023-01-22 14:12:21","2023-01-22 00:00:00","7","0D58a00009Bqw7bCAB","00T8a000081k7kO","1","I"
"0OD8a000000KpVCGA0","0","00000032","2023-01-22 14:12:21","0058a00000L2IR7AAN","2023-01-22 14:12:21","0058a00000L2IR7AAN","2023-01-22 14:12:21","2023-01-22 00:00:00","7","0D58a00009BqwEyCAJ","00T8a000081k7lF","1","I"
"0OD8a000000KpVEGA0","0","00000034","2023-01-22 14:12:21","0058a00000L2IR7AAN","2023-01-22 14:12:21","0058a00000L2IR7AAN","2023-01-22 14:12:21","2023-01-22 00:00:00","7","0D58a00009BqwOUCAZ","00T8a000081k8PX","1","I"
"0OD8a000000KpVFGA0","0","00000035","2023-01-22 14:12:21","0058a00000L2IR7AAN","2023-01-22 14:12:21","0058a00000L2IR7AAN","2023-01-22 14:12:21","2023-01-22 00:00:00","7","0D58a00009BqwY6CAJ","00T8a000081k85d","1","I"
"0OD8a000000KpVGGA0","0","00000036","2023-01-22 14:12:21","0058a00000L2IR7AAN","2023-01-22 14:12:21","0058a00000L2IR7AAN","2023-01-22 14:12:21","2023-01-22 00:00:00","7","0D58a00009BqwxfCAB","00T8a000081k8Q1","1","I"
"0OD8a000000KpVKGA0","0","00000040","2023-01-22 14:12:21","0058a00000L2IR7AAN","2023-01-22 14:12:21","0058a00000L2IR7AAN","2023-01-22 14:12:21","2023-01-22 00:00:00","7","0D58a00009AHSrzCAH","00T8a000080rclm","1","I"
"0OD8a000000KpVLGA0","0","00000041","2023-01-22 14:12:21","0058a00000L2IR7AAN","2023-01-22 14:12:21","0058a00000L2IR7AAN","2023-01-22 14:12:21","2023-01-22 00:00:00","7","0D58a00009AHPquCAH","00T8a000080rarQ","1","I"
"0OD8a000000KpVMGA0","0","00000042","2023-01-22 14:12:21","0058a00000L2IR7AAN","2023-01-22 14:12:21","0058a00000L2IR7AAN","2023-01-22 14:12:21","2023-01-22 00:00:00","7","0D58a00009AHQKlCAP","00T8a000080rbLc","1","I"
"0OD8a000000Kqa2GAC","0","00000043","2023-01-29 14:12:14","0058a00000L2IR7AAN","2023-01-29 14:12:14","0058a00000L2IR7AAN","2023-01-29 14:12:14","2023-01-29 00:00:00","7","0D58a00009C8YGRCA3","00T8a000082AYfO","1","I"
