"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ParentId","Value","Intensity","ExternalId","ModelFactor","LastModifiedTimeOnRecord","IntensityLevel","ExtractionTime","FeatureType","Value2"
"0O98a00000EE2MqCAL","0","00000001","2023-02-11 19:20:14","0058a00000LLuwkAAD","2023-07-27 16:47:18","0058a00000LLuwkAAD","2023-07-27 16:47:18","00Q8a00001uiEr1EAE","false","0.01","","9e807881-58cc-431b-9b20-78d28ee2481f","2023-07-27 16:47:11","NIL","","LeadScoring",""
"0O98a00000EE2MrCAL","0","00000002","2023-02-11 19:20:14","0058a00000LLuwkAAD","2023-07-27 16:47:18","0058a00000LLuwkAAD","2023-07-27 16:47:18","00Q8a00001uiEsDEAU","from a business","0.017","","cd796998-7b93-4226-92b5-2f0c2f1a207c","2023-07-27 16:47:11","NIL","","LeadScoring",""
"0O98a00000EE2MsCAL","0","00000003","2023-02-11 19:20:14","0058a00000LLuwkAAD","2023-07-27 16:47:18","0058a00000LLuwkAAD","2023-07-27 16:47:18","00Q8a00001uiEsDEAU","false","0.01","","9e807881-58cc-431b-9b20-78d28ee2481f","2023-07-27 16:47:11","NIL","","LeadScoring",""
"0O98a00000EE2MtCAL","0","00000004","2023-02-11 19:20:14","0058a00000LLuwkAAD","2023-02-11 19:20:14","0058a00000LLuwkAAD","2023-02-11 19:20:14","00Q8a00001uiEsDEAU","Empty","-0.03804039376108647","","8766859a-acba-4d2f-a601-28a85a3ccc46","2023-02-11 19:20:08","NIL","","LeadScoring",""
"0O98a00000EE2MuCAL","0","00000005","2023-02-11 19:20:14","0058a00000LLuwkAAD","2023-02-11 19:20:14","0058a00000LLuwkAAD","2023-02-11 19:20:14","00Q8a00001uiEsDEAU","Ecuador","-0.014739934177165088","","c4bb5ec1-a1cb-4088-ac2a-c2db31fce6fe","2023-02-11 19:20:08","NIL","","LeadScoring",""
"0O98a00000EE2MvCAL","0","00000006","2023-02-11 19:20:14","0058a00000LLuwkAAD","2023-07-27 16:47:18","0058a00000LLuwkAAD","2023-07-27 16:47:18","00Q8a00001uiEtQEAU","from a business","0.017","","cd796998-7b93-4226-92b5-2f0c2f1a207c","2023-07-27 16:47:11","NIL","","LeadScoring",""
"0O98a00000EE2MwCAL","0","00000007","2023-02-11 19:20:14","0058a00000LLuwkAAD","2023-07-27 16:47:18","0058a00000LLuwkAAD","2023-07-27 16:47:18","00Q8a00001uiEtQEAU","false","0.01","","9e807881-58cc-431b-9b20-78d28ee2481f","2023-07-27 16:47:11","NIL","","LeadScoring",""
"0O98a00000EE2MxCAL","0","00000008","2023-02-11 19:20:14","0058a00000LLuwkAAD","2023-06-27 02:15:49","0058a00000LLuwkAAD","2023-06-27 02:15:49","00Q8a00001uiEuOEAU","Empty","-0.057","","4e20149b-4efb-4502-971c-e4dc31bb8065","2023-06-27 02:15:42","NIL","","LeadScoring",""
"0O98a00000EE2MyCAL","0","00000009","2023-02-11 19:20:14","0058a00000LLuwkAAD","2023-06-27 02:15:49","0058a00000LLuwkAAD","2023-06-27 02:15:49","00Q8a00001uiEuOEAU","Empty","-0.044","","4fac9d23-af93-4678-8957-a599297ae8cf","2023-06-27 02:15:42","NIL","","LeadScoring",""
"0O98a00000EE2MzCAL","0","00000010","2023-02-11 19:20:14","0058a00000LLuwkAAD","2023-06-27 02:15:49","0058a00000LLuwkAAD","2023-06-27 02:15:49","00Q8a00001uiEuOEAU","Ecuador","-0.014","","82e16804-6635-449e-88a4-0eea25110576","2023-06-27 02:15:42","NIL","","LeadScoring",""
"0O98a00000EE2N0CAL","0","00000011","2023-02-11 19:20:14","0058a00000LLuwkAAD","2023-06-27 02:15:49","0058a00000LLuwkAAD","2023-06-27 02:15:49","00Q8a00001uiEuOEAU","Marketing","-0.013","","bc582ed6-76a8-4810-a664-17bda6619532","2023-06-27 02:15:42","NIL","","LeadScoring",""
"0O98a00000EE2N1CAL","0","00000012","2023-02-11 19:20:14","0058a00000LLuwkAAD","2023-07-27 16:47:18","0058a00000LLuwkAAD","2023-07-27 16:47:18","00Q8a00001uiEvCEAU","from a business","0.017","","cd796998-7b93-4226-92b5-2f0c2f1a207c","2023-07-27 16:47:11","NIL","","LeadScoring",""
"0O98a00000EE2N2CAL","0","00000013","2023-02-11 19:20:14","0058a00000LLuwkAAD","2023-07-27 16:47:18","0058a00000LLuwkAAD","2023-07-27 16:47:18","00Q8a00001uiEvCEAU","false","0.01","","9e807881-58cc-431b-9b20-78d28ee2481f","2023-07-27 16:47:11","NIL","","LeadScoring",""
"0O98a00000EE2N3CAL","0","00000014","2023-02-11 19:20:14","0058a00000LLuwkAAD","2023-07-27 16:47:18","0058a00000LLuwkAAD","2023-07-27 16:47:18","00Q8a00001v3ivFEAQ","Empty","-0.049","","c8fc50c1-b17f-41ba-9935-a863886916b2","2023-07-27 16:47:11","NIL","","LeadScoring",""
"0O98a00000EE2N4CAL","0","00000015","2023-02-11 19:20:14","0058a00000LLuwkAAD","2023-07-27 16:47:18","0058a00000LLuwkAAD","2023-07-27 16:47:18","00Q8a00001v3ivFEAQ","Empty","-0.047","","19a8ac8a-c956-4657-ac87-27b3997774d3","2023-07-27 16:47:11","NIL","","LeadScoring",""
"0O98a00000EE2N5CAL","0","00000016","2023-02-11 19:20:14","0058a00000LLuwkAAD","2023-07-27 16:47:18","0058a00000LLuwkAAD","2023-07-27 16:47:18","00Q8a00001v3ivFEAQ","Empty","-0.032","","be0d3e77-852b-42d3-8317-7ef068f6cc0b","2023-07-27 16:47:11","NIL","","LeadScoring",""
"0O98a00000EE2N6CAL","0","00000017","2023-02-11 19:20:14","0058a00000LLuwkAAD","2023-07-27 16:47:18","0058a00000LLuwkAAD","2023-07-27 16:47:18","00Q8a00001v3ivFEAQ","Marketing","-0.012","","93033756-d8ba-42a5-a4bb-bd82591a7450","2023-07-27 16:47:11","NIL","","LeadScoring",""
"0O98a00000EE2N7CAL","0","00000018","2023-02-11 19:20:14","0058a00000LLuwkAAD","2023-07-27 16:47:18","0058a00000LLuwkAAD","2023-07-27 16:47:18","00Q8a00001v3iwXEAQ","from a business","0.017","","cd796998-7b93-4226-92b5-2f0c2f1a207c","2023-07-27 16:47:11","NIL","","LeadScoring",""
