"Id","IsDeleted","Name","CurrencyIsoCode","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ListEmailId","Month","AllEmailsSentCount","AllEmailsOpenedCount","AllEmailsRepliedCount","AllEmailsLinkClickedCount","AllEmailsHardBouncedCount","AllEmailsSoftBouncedCount","AllEmailsOutOfOfficeCount","UniqueEmailsOpenedCount","UniqueEmailsRepliedCount","UniqueEmailsLinkClickedCount","IsAggregated","StartDateTime","EndDateTime","MonthInt","LinkClickTrackableSends","OpenTrackableSends","ReplyTrackableSends","SoftBounceTrackableSends","HardBounceTrackableSends","OutOfOfficeTrackableSends"
"0hG8a000000PBZCEA4","0","","MXN","2023-05-31 14:21:56","0058a00000L2IR7AAN","2023-05-31 14:21:57","0058a00000L2IR7AAN","2023-05-31 14:21:57","0XB8a0000009ER4GAM","2023-05-01 00:00:00","","2","","","","","","","","","0","","","202305","","","","","",""
"0hG8a000000PBZHEA4","0","","MXN","2023-05-31 20:49:02","0058a00000L2IR7AAN","2023-05-31 21:36:32","0058a00000L2IR7AAN","2023-05-31 21:36:32","0XB8a000000ogqlGAA","2023-05-01 00:00:00","","3","","","","","","1","","","0","","","202305","","","","","",""
"0hG8a000000PBb8EAG","0","","MXN","2023-06-01 19:49:01","0058a00000L2IR7AAN","2023-06-29 17:04:10","0058a00000L2IR7AAN","2023-06-29 17:04:10","0XB8a000000ohhBGAQ","2023-06-01 00:00:00","","25","","","","","","","","","0","","","202306","","","","","",""
"0hG8a000000PBbDEAW","0","","MXN","2023-06-01 21:48:23","0058a00000L2IR7AAN","2023-06-01 21:48:23","0058a00000L2IR7AAN","2023-06-01 21:48:23","0XB8a0000009EsAGAU","2023-06-01 00:00:00","","1","","","","","","","","","0","","","202306","","","","","",""
"0hG8a000000PBgSEAW","0","","MXN","2023-06-09 19:18:26","0058a00000L2IR7AAN","2023-06-22 02:38:24","0058a00000L2IR7AAN","2023-06-22 02:38:24","0XB8a000000ohhLGAQ","2023-06-01 00:00:00","","2","","","","","","","","","0","","","202306","","","","","",""
"0hG8a000000PBghEAG","0","","MXN","2023-06-09 23:20:57","0058a00000L2IR7AAN","2023-06-09 23:20:57","0058a00000L2IR7AAN","2023-06-09 23:20:57","0XB8a000000ohhQGAQ","2023-06-01 00:00:00","","1","","","","","","1","","","0","","","202306","","","","","",""
"0hG8a000000PBlNEAW","0","","MXN","2023-06-14 21:55:28","0058a00000L2IR7AAN","2023-06-14 21:55:28","0058a00000L2IR7AAN","2023-06-14 21:55:28","0XB8a000000ogr0GAA","2023-06-01 00:00:00","","1","","","","","","","","","0","","","202306","","","","","",""
"0hG8a000000PBlOEAW","0","","MXN","2023-06-14 21:55:28","0058a00000L2IR7AAN","2023-06-28 16:36:32","0058a00000L2IR7AAN","2023-06-28 16:36:32","0XB8a000000oh6jGAA","2023-06-01 00:00:00","","2","","","","","","","","","0","","","202306","","","","","",""
"0hG8a000000PBqcEAG","0","","MXN","2023-06-21 19:00:57","0058a00000L2IR7AAN","2023-06-21 19:46:07","0058a00000L2IR7AAN","2023-06-21 19:46:07","0XB8a000000ogqqGAA","2023-06-01 00:00:00","","2","","","","","","","","","0","","","202306","","","","","",""
"0hG8a000000PBqwEAG","0","","MXN","2023-06-22 02:38:24","0058a00000L2IR7AAN","2023-06-22 02:38:24","0058a00000L2IR7AAN","2023-06-22 02:38:24","0XB8a000000ohhGGAQ","2023-06-01 00:00:00","","1","","","","","","","","","0","","","202306","","","","","",""
"0hG8a000000PBqxEAG","0","","MXN","2023-06-22 02:38:24","0058a00000L2IR7AAN","2023-06-22 02:38:24","0058a00000L2IR7AAN","2023-06-22 02:38:24","0XB8a000000ohhCGAQ","2023-06-01 00:00:00","","1","","","","","","","","","0","","","202306","","","","","",""
"0hG8a000000PBvXEAW","0","","MXN","2023-06-29 15:17:30","0058a00000L2IR7AAN","2023-06-29 15:30:04","0058a00000L2IR7AAN","2023-06-29 15:30:04","0XB8a000000oh6KGAQ","2023-06-01 00:00:00","","4","","","","","","","","","0","","","202306","","","","","",""
"0hG8a000000PCCnEAO","0","","MXN","2023-07-24 21:30:02","0058a00000L2IR7AAN","2023-07-24 21:30:02","0058a00000L2IR7AAN","2023-07-24 21:30:02","0XB8a000000ohhBGAQ","2023-07-01 00:00:00","","1","","","","","","","","","0","","","202307","","","","","",""
"0hG8a000000PCKrEAO","0","","MXN","2023-08-02 17:54:55","0058a00000L2IR7AAN","2023-08-02 17:54:55","0058a00000L2IR7AAN","2023-08-02 17:54:55","0XB8a0000009ER4GAM","2023-08-01 00:00:00","","1","","","","","","","","","0","","","202308","","","","","",""
"0hG8a000000PCOZEA4","0","","MXN","2023-08-07 22:50:39","0058a00000L2IR7AAN","2023-08-07 22:50:39","0058a00000L2IR7AAN","2023-08-07 22:50:39","0XB8a0000009EqiGAE","2023-08-01 00:00:00","","1","","","","","","","","","0","","","202308","","","","","",""
"0hG8a000000PCOaEAO","0","","MXN","2023-08-07 22:50:39","0058a00000L2IR7AAN","2023-08-07 22:50:39","0058a00000L2IR7AAN","2023-08-07 22:50:39","0XB8a0000009EsAGAU","2023-08-01 00:00:00","","1","","","","","","","","","0","","","202308","","","","","",""
"0hG8a000000PChvEAG","0","","MXN","2023-08-28 20:14:00","0058a00000L2IR7AAN","2023-08-28 20:26:29","0058a00000L2IR7AAN","2023-08-28 20:26:29","0XB8a000000ohhCGAQ","2023-08-01 00:00:00","","2","","","","","","1","","","0","","","202308","","","","","",""
"0hG8a000000TQ6wEAG","0","","MXN","2023-02-16 21:46:59","0058a00000L2IR7AAN","2023-02-28 17:03:47","0058a00000L2IR7AAN","2023-02-28 17:03:47","0XB8a0000009EqiGAE","2023-02-01 00:00:00","9","24","","","","","","9","","","0","","","202302","","9","","9","9",""
"0hG8a000000TQ7pEAG","0","","MXN","2023-02-17 19:50:20","0058a00000L2IR7AAN","2023-02-28 17:03:46","0058a00000L2IR7AAN","2023-02-28 17:03:46","0XB8a0000009EsAGAU","2023-02-01 00:00:00","9","41","","","","","","9","","","0","","","202302","","9","","9","9",""
"0hG8a000000TQEqEAO","0","","MXN","2023-02-23 22:40:20","0058a00000L2IR7AAN","2023-02-24 15:45:14","0058a00000L2IR7AAN","2023-02-24 15:45:14","0XB8a0000009ER4GAM","2023-02-01 00:00:00","","9","","","","","","1","","","0","","","202302","","","","","",""
"0hG8a000000TQLrEAO","0","","MXN","2023-03-01 18:55:14","0058a00000L2IR7AAN","2023-03-27 19:21:34","0058a00000L2IR7AAN","2023-03-27 19:21:34","0XB8a0000009EsAGAU","2023-03-01 00:00:00","","5","","","","","","","","","0","","","202303","","","","","",""
"0hG8a000000TQLsEAO","0","","MXN","2023-03-01 18:55:14","0058a00000L2IR7AAN","2023-03-27 19:21:34","0058a00000L2IR7AAN","2023-03-27 19:21:34","0XB8a0000009EqiGAE","2023-03-01 00:00:00","","2","","","","","","","","","0","","","202303","","","","","",""
"0hG8a000000TQO7EAO","0","","MXN","2023-03-02 21:09:38","0058a00000L2IR7AAN","2023-03-02 21:09:39","0058a00000L2IR7AAN","2023-03-02 21:09:39","0XB8a0000009EHTGA2","2023-03-01 00:00:00","","2","","","","","","1","","","0","","","202303","","","","","",""
"0hG8a000000TQPyEAO","0","","MXN","2023-03-04 04:17:35","0058a00000L2IR7AAN","2023-03-04 04:17:35","0058a00000L2IR7AAN","2023-03-04 04:17:35","0XB8a0000009ER4GAM","2023-03-01 00:00:00","","1","","","","","","1","","","0","","","202303","","","","","",""
