"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","Factor1","Factor2","Type","Value","ConversionCorrelation","SourceField1","SourceField2","Version","ExternalId","SummaryText","ScoreCorrelation","FeatureType","SegmentId"
"0O38a000000D9LnCAK","0","00000093","2023-06-27 02:15:44","0058a00000LLuwkAAD","2023-06-27 02:15:44","0058a00000LLuwkAAD","2023-06-27 02:15:44","Lead.IsUnreadByOwner","","IS_EQUAL","False","0.018","Lead.IsUnreadByOwner","","6","355f630e-d32e-4456-bf84-667b67cf01ca","No leído por el propietario es False","","LeadScoring","6gt8a000000YFQoAAO"
"0O38a000000D9LoCAK","0","00000094","2023-06-27 02:15:44","0058a00000LLuwkAAD","2023-06-27 02:15:44","0058a00000LLuwkAAD","2023-06-27 02:15:44","Lead.LastActivityDate","","IS_EQUAL","Low_Neg","0.064","Lead.LastActivityDate","","6","3b3465e1-c750-4532-9133-a5adc6323b03","Última actividad es reciente","","LeadScoring","6gt8a000000YFQoAAO"
"0O38a000000D9LpCAK","0","00000095","2023-06-27 02:15:44","0058a00000LLuwkAAD","2023-06-27 02:15:44","0058a00000LLuwkAAD","2023-06-27 02:15:44","NumberOfFutureEvents","","IS_EQUAL","Empty","-0.057","Event.Who","","6","4e20149b-4efb-4502-971c-e4dc31bb8065","No hay eventos futuros","","LeadScoring","6gt8a000000YFQoAAO"
"0O38a000000D9LqCAK","0","00000096","2023-06-27 02:15:44","0058a00000LLuwkAAD","2023-06-27 02:15:44","0058a00000LLuwkAAD","2023-06-27 02:15:44","TotalNumberOfTasks","","IS_EQUAL","Empty","-0.035","Task.Who","","6","4e534ad1-f4b4-4fcd-bdf8-7d9e2d7f182f","No hay tareas","","LeadScoring","6gt8a000000YFQoAAO"
"0O38a000000D9LrCAK","0","00000097","2023-06-27 02:15:44","0058a00000LLuwkAAD","2023-06-27 02:15:44","0058a00000LLuwkAAD","2023-06-27 02:15:44","NumberOfFutureTasks","","IS_EQUAL","Empty","-0.044","Task.Who","","6","4fac9d23-af93-4678-8957-a599297ae8cf","No hay tareas futuras","","LeadScoring","6gt8a000000YFQoAAO"
"0O38a000000D9LsCAK","0","00000098","2023-06-27 02:15:44","0058a00000LLuwkAAD","2023-06-27 02:15:44","0058a00000LLuwkAAD","2023-06-27 02:15:44","Lead.TitleRank","","IS_EQUAL","ManagerLevel","-0.033","Lead.Title","","6","57f55b8f-ec9e-41b8-9586-4d7add75ed7d","","","LeadScoring","6gt8a000000YFQoAAO"
"0O38a000000D9LtCAK","0","00000099","2023-06-27 02:15:44","0058a00000LLuwkAAD","2023-06-27 02:15:44","0058a00000LLuwkAAD","2023-06-27 02:15:44","TotalNumberOfActivities","","IS_EQUAL","Empty","-0.041","Task.Who","Event.Who","6","63276659-4422-40b7-b4d3-73fc9c8f17f1","No hay actividades","","LeadScoring","6gt8a000000YFQoAAO"
"0O38a000000D9LuCAK","0","00000100","2023-06-27 02:15:44","0058a00000LLuwkAAD","2023-06-27 02:15:44","0058a00000LLuwkAAD","2023-06-27 02:15:44","Lead.LeadSource","","IS_EQUAL","Website","0.018","Lead.LeadSource","","6","69fefc1d-a7e2-463c-8fb1-f631751d715c","Origen del contacto es Website","","LeadScoring","6gt8a000000YFQoAAO"
"0O38a000000D9LvCAK","0","00000101","2023-06-27 02:15:44","0058a00000LLuwkAAD","2023-06-27 02:15:44","0058a00000LLuwkAAD","2023-06-27 02:15:44","Lead.Country","","IS_EQUAL","other","-0.014","Lead.Country","","6","82e16804-6635-449e-88a4-0eea25110576","País es other","","LeadScoring","6gt8a000000YFQoAAO"
"0O38a000000D9LwCAK","0","00000102","2023-06-27 02:15:44","0058a00000LLuwkAAD","2023-06-27 02:15:44","0058a00000LLuwkAAD","2023-06-27 02:15:44","TotalNumberOfEvents","","IS_EQUAL","Empty","-0.055","Event.Who","","6","8cc4cc95-1319-41e9-8608-ae3ac3f52971","No hay eventos","","LeadScoring","6gt8a000000YFQoAAO"
