"Id","ParentId","Type","CreatedById","CreatedDate","IsDeleted","LastModifiedDate","SystemModstamp","CommentCount","LikeCount","ClientOauthLink"
"0D58a00009AHPquCAH","00T8a000080rarQEAQ","CallLogPost","0058a00000MNWtKAAX","2023-01-17 17:00:05","0","2023-01-17 17:00:05","2023-01-17 17:00:05","0","0",""
"0D58a00009AHQKlCAP","00T8a000080rbLcEAI","CreateRecordEvent","0058a00000MNWtKAAX","2023-01-17 17:00:57","0","2023-01-17 17:00:57","2023-01-17 17:00:57","0","0",""
"0D58a00009AHRK9CAP","0038a00003A0xTfAAJ","TextPost","0058a00000MNWuDAAX","2023-01-17 17:13:58","0","2023-01-17 17:14:59","2023-01-17 17:14:59","1","0",""
"0D58a00009AHTw5CAH","0018a000024zBBFAA2","TextPost","0058a00000MNWuDAAX","2023-01-17 17:27:09","0","2023-01-17 17:27:09","2023-01-17 17:27:09","0","0",""
"0D58a00009AKJF1CAP","00U8a00000pGH22EAG","CreateRecordEvent","0058a00000MNWtKAAX","2023-01-18 14:28:45","0","2023-01-18 14:28:45","2023-01-18 14:28:45","0","0",""
"0D58a00009AKwi4CAD","00T8a000081hIcIEAU","CreateRecordEvent","0058a00000MNWtKAAX","2023-01-18 20:23:23","0","2023-01-18 20:23:23","2023-01-18 20:23:23","0","0",""
"0D58a00009AKx8JCAT","00T8a000081hH2WEAU","CreateRecordEvent","0058a00000MNWtKAAX","2023-01-18 20:26:05","0","2023-01-18 20:26:05","2023-01-18 20:26:05","0","0",""
"0D58a00009AKxLcCAL","00T8a000081hIdfEAE","CreateRecordEvent","0058a00000MNWtKAAX","2023-01-18 20:23:57","0","2023-01-18 20:23:57","2023-01-18 20:23:57","0","0",""
"0D58a00009AKzGyCAL","00T8a000081hK1zEAE","CreateRecordEvent","0058a00000MNWtKAAX","2023-01-18 20:45:39","0","2023-01-18 20:45:39","2023-01-18 20:45:39","0","0",""
"0D58a00009AKzmWCAT","00U8a00000pGJfpEAG","CreateRecordEvent","0058a00000MNWtKAAX","2023-01-18 20:49:34","0","2023-01-18 20:49:34","2023-01-18 20:49:34","0","0",""
"0D58a00009AL2JbCAL","00U8a00000pGJhgEAG","CreateRecordEvent","0058a00000MNWtKAAX","2023-01-18 20:54:45","0","2023-01-18 20:54:45","2023-01-18 20:54:45","0","0",""
"0D58a00009Bqv8HCAR","00U8a00000pGTxaEAG","CreateRecordEvent","0058a00000MNWtKAAX","2023-01-21 12:55:49","0","2023-01-21 12:55:49","2023-01-21 12:55:49","0","0",""
