"Id","ObjectId","Territory2Id","AssociationCause","KeyPrefix","IsDeleted","LastModifiedDate","LastModifiedById","SystemModstamp"
"0JB8a00000AewlzGAB","0018a00002FL6IlAAL","0MI8a0000004gDZGAY","Territory2AssignmentRule","001","0","2023-03-30 00:14:12","0058a00000MNWtPAAX","2023-03-30 00:14:12"
"0JB8a00000AexFsGAJ","0018a00002FLCnLAAX","0MI8a0000004gDUGAY","Territory2AssignmentRule","001","0","2023-03-30 20:20:23","0058a00000MNWtKAAX","2023-03-30 20:20:23"
"0JB8a00000AexHjGAJ","0018a00002FLD2zAAH","0MI8a0000004gDUGAY","Territory2AssignmentRule","001","0","2023-03-30 21:02:14","0058a00000MNWtKAAX","2023-03-30 21:02:14"
"0JB8a00000AexTnGAJ","0018a00002FLHYZAA5","0MI8a0000004gDeGAI","Territory2AssignmentRule","001","0","2023-03-31 15:30:43","0058a00000MNWtZAAX","2023-03-31 15:30:43"
"0JB8a00000AexU7GAJ","0018a00002FLIIhAAP","0MI8a0000004gDeGAI","Territory2AssignmentRule","001","0","2023-03-31 15:37:21","0058a00000MNWtZAAX","2023-03-31 15:37:21"
"0JB8a00000AexfoGAB","0018a00002FLJyLAAX","0MI8a0000004gDZGAY","Territory2AssignmentRule","001","0","2023-03-31 20:03:00","0058a00000MNWtPAAX","2023-03-31 20:03:00"
"0JB8a00000Aey1AGAR","0018a00002FLakDAAT","0MI8a0000004gDUGAY","Territory2AssignmentRule","001","0","2023-04-03 16:53:50","0058a00000MNWtKAAX","2023-04-03 16:53:50"
"0JB8a00000Aey3zGAB","0018a00002FLbR5AAL","0MI8a0000004gDUGAY","Territory2AssignmentRule","001","0","2023-04-03 18:13:05","0058a00000MNWtKAAX","2023-04-03 18:13:05"
"0JB8a00000Aey49GAB","0018a00002FLbSNAA1","0MI8a0000004gDUGAY","Territory2AssignmentRule","001","0","2023-04-03 18:15:33","0058a00000MNWtKAAX","2023-04-03 18:15:33"
"0JB8a00000Aey4EGAR","0018a00002FLbIzAAL","0MI8a0000004gDUGAY","Territory2AssignmentRule","001","0","2023-04-03 18:17:23","0058a00000MNWtKAAX","2023-04-03 18:17:23"
"0JB8a00000Aey4OGAR","0018a00002FLbTpAAL","0MI8a0000004gDUGAY","Territory2AssignmentRule","001","0","2023-04-03 18:18:44","0058a00000MNWtKAAX","2023-04-03 18:18:44"
"0JB8a00000Aey4YGAR","0018a00002FLbVHAA1","0MI8a0000004gDUGAY","Territory2AssignmentRule","001","0","2023-04-03 18:22:15","0058a00000MNWtKAAX","2023-04-03 18:22:15"
"0JB8a00000Aey5gGAB","0018a00002FLbe7AAD","0MI8a0000004gDPGAY","Territory2AssignmentRule","001","0","2023-04-03 18:42:09","0058a00000MNWteAAH","2023-04-03 18:42:09"
"0JB8a00000AeyURGAZ","0018a00002FLj12AAD","0MI8a0000004gDUGAY","Territory2AssignmentRule","001","0","2023-04-04 17:07:21","0058a00000MNWtKAAX","2023-04-04 17:07:21"
