"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","RowVersion","CycleType","Status"
"7D58a000000PDYuCAO","0","AIC-00000001","2023-02-14 00:02:19","0058a00000LLuwkAAD","2023-02-24 08:03:05","0058a00000LLuwkAAD","2023-02-24 08:03:05","3","OpportunityScoreModeling","Inactive"
"7D58a000000PDZECA4","0","AIC-00000002","2023-02-23 01:41:10","0058a00000LLuwkAAD","2023-03-14 00:56:31","0058a00000LLuwkAAD","2023-03-14 00:56:31","3","OpportunityScoreModeling","Inactive"
"7D58a000000PDZsCAO","0","AIC-00000003","2023-03-10 22:32:14","0058a00000LLuwkAAD","2023-04-05 00:51:53","0058a00000LLuwkAAD","2023-04-05 00:51:53","3","OpportunityScoreModeling","Inactive"
"7D58a000000Xb2PCAS","0","AIC-00000007","2023-06-12 18:11:08","0058a00000LLuwkAAD","2023-07-11 23:29:38","0058a00000LLuwkAAD","2023-07-11 23:29:38","3","OpportunityScoreModeling","Inactive"
"7D58a000000Xb38CAC","0","AIC-00000008","2023-07-08 21:27:39","0058a00000LLuwkAAD","2023-08-05 02:21:42","0058a00000LLuwkAAD","2023-08-05 02:21:42","3","OpportunityScoreModeling","Inactive"
"7D58a000000Xb3mCAC","0","AIC-00000009","2023-08-03 01:13:39","0058a00000LLuwkAAD","2023-08-05 02:21:42","0058a00000LLuwkAAD","2023-08-05 02:21:42","2","OpportunityScoreModeling","Active"
"7D58a000000Xb4QCAS","0","AIC-00000010","2023-08-29 03:40:36","0058a00000LLuwkAAD","2023-08-29 03:40:36","0058a00000LLuwkAAD","2023-08-29 03:40:36","1","OpportunityScoreModeling",""
"7D58a000000oNUoCAM","0","AIC-00000004","2023-04-05 00:51:49","0058a00000LLuwkAAD","2023-05-02 21:26:34","0058a00000LLuwkAAD","2023-05-02 21:26:34","3","OpportunityScoreModeling","Inactive"
"7D58a000000oNVSCA2","0","AIC-00000005","2023-04-30 12:53:01","0058a00000LLuwkAAD","2023-05-24 12:43:09","0058a00000LLuwkAAD","2023-05-24 12:43:09","3","OpportunityScoreModeling","Inactive"
"7D58a000000oNWVCA2","0","AIC-00000006","2023-05-22 05:49:14","0058a00000LLuwkAAD","2023-06-15 05:39:38","0058a00000LLuwkAAD","2023-06-15 05:39:38","3","OpportunityScoreModeling","Inactive"
