"Id","Name","Territory2TypeId","Territory2ModelId","ParentTerritory2Id","Description","ForecastUserId","AccountAccessLevel","OpportunityAccessLevel","CaseAccessLevel","ContactAccessLevel","CurrencyIsoCode","LastModifiedDate","LastModifiedById","SystemModstamp"
"00E8a000001le92EAA","Directivos","","","000000000000000AAA","","0058a00000MNWt0AAH","0","Edit","Edit","Edit","000","2022-12-01 18:56:53","0058a00000LN8cxAAD","2023-01-24 03:48:18"
"00E8a000001le93EAA","Administrador de inventarios","","","00E8a000001le92EAA","","000000000000000AAA","0","Read","None","Read","000","2022-12-01 18:57:25","0058a00000LN8cxAAD","2022-12-01 18:57:25"
"00E8a000001le94EAA","CO Channel manager","","","00E8a000001le92EAA","CO Channel manager","000000000000000AAA","0","Edit","Edit","Edit","000","2022-12-01 18:57:25","0058a00000LN8cxAAD","2022-12-01 18:57:25"
"00E8a000001le95EAA","EC Country manager","","","00E8a000001le92EAA","EC Country manager","0058a00000MNWtKAAX","0","Read","Edit","Edit","000","2022-12-01 18:57:25","0058a00000LN8cxAAD","2023-01-17 02:00:29"
"00E8a000001le96EAA","EC Gerencia","","","00E8a000001le95EAA","EC Gerencia","000000000000000AAA","0","Read","Edit","Edit","000","2022-12-01 18:57:25","0058a00000LN8cxAAD","2022-12-01 18:57:25"
"00E8a000001le97EAA","EC Vendedor","","","00E8a000001le96EAA","EC Vendedor","000000000000000AAA","0","Edit","Edit","Edit","000","2022-12-01 18:57:25","0058a00000LN8cxAAD","2022-12-01 18:57:25"
"00E8a000001le98EAA","MX Country manager","","","00E8a000001le92EAA","MX Country manager","000000000000000AAA","0","Read","Edit","Edit","000","2022-12-01 18:57:25","0058a00000LN8cxAAD","2022-12-01 18:57:25"
"00E8a000001le99EAA","MX Gerencia","","","00E8a000001le98EAA","MX Gerencia","000000000000000AAA","0","Read","Edit","Edit","000","2022-12-01 18:57:25","0058a00000LN8cxAAD","2023-01-24 01:46:09"
"00E8a000001le9AEAQ","MX Vendedor","","","00E8a000001le98EAA","MX Vendedor","000000000000000AAA","0","Edit","Edit","Edit","000","2023-08-01 15:06:31","0058a00000MNWuDAAX","2023-08-01 15:06:31"
"00E8a000001le9BEAQ","PE Channel manager","","","00E8a000001le92EAA","PE Channel manager","000000000000000AAA","0","Edit","Edit","Edit","000","2022-12-01 18:57:26","0058a00000LN8cxAAD","2022-12-01 18:57:26"
"00E8a000001le9CEAQ","RD Channel manager","","","00E8a000001le92EAA","RD Channel manager","000000000000000AAA","0","Edit","Edit","Edit","000","2022-12-01 18:57:26","0058a00000LN8cxAAD","2022-12-01 18:57:26"
"0MI8a0000004gDPGAY","Colombia","0M58a000000KzNkCAK","0MA8a000000D54HGAS","000000000000000AAA","Colombia","000000000000000AAA","Read","Read","None","Read","000","2022-12-01 17:30:10","0058a00000LN8cxAAD","2022-12-01 17:30:10"
"0MI8a0000004gDUGAY","Ecuador","0M58a000000KzNkCAK","0MA8a000000D54HGAS","000000000000000AAA","Ecuador","000000000000000AAA","Read","Read","None","Read","000","2022-12-01 17:30:42","0058a00000LN8cxAAD","2022-12-01 17:30:42"
"0MI8a0000004gDZGAY","México","0M58a000000KzNkCAK","0MA8a000000D54HGAS","000000000000000AAA","México","000000000000000AAA","Read","Read","None","Read","000","2022-12-01 17:31:31","0058a00000LN8cxAAD","2022-12-01 17:31:31"
"0MI8a0000004gDeGAI","Perú","0M58a000000KzNkCAK","0MA8a000000D54HGAS","000000000000000AAA","Perú","000000000000000AAA","Read","Read","None","Read","000","2022-12-01 17:32:22","0058a00000LN8cxAAD","2022-12-01 17:32:22"
"0MI8a0000004gDjGAI","RD","0M58a000000KzNkCAK","0MA8a000000D54HGAS","000000000000000AAA","RD","000000000000000AAA","Read","Read","None","Read","000","2022-12-01 17:32:41","0058a00000LN8cxAAD","2022-12-01 17:32:41"
"0MI8a0000004gDoGAI","Channel Manager CO","0M58a000000KzNkCAK","0MA8a000000D54HGAS","0MI8a0000004gDPGAY","Channel Manager CO","000000000000000AAA","Read","Read","None","Read","000","2022-12-01 17:33:33","0058a00000LN8cxAAD","2022-12-01 17:33:33"
"0MI8a0000004gDtGAI","Country Manager","0M58a000000KzNkCAK","0MA8a000000D54HGAS","0MI8a0000004gDUGAY","Country Manager","000000000000000AAA","Read","Read","None","Read","000","2022-12-01 17:34:13","0058a00000LN8cxAAD","2022-12-01 17:34:13"
