"Id","IsDeleted","Name","CurrencyIsoCode","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","UserId","FormFactor","AppDefinitionId"
"0Ds8a000000aV6hCAE","0","","MXN","2022-05-25 20:38:02","0058a00000LLRscAAH","2023-09-01 01:44:53","0058a00000LLRscAAH","2023-09-01 01:44:53","0058a00000LLRscAAH","Large","06m8a000000tafmAAA"
"0Ds8a000000aV6iCAE","0","","000","2022-05-25 20:38:02","0058a00000L2IR8AAN","2022-05-25 20:38:02","0058a00000L2IR8AAN","2022-05-25 20:38:02","0058a00000L2IR8AAN","Large","06m8a000000eQbbAAE"
"0Ds8a000000aV6jCAE","0","","000","2022-05-25 20:38:02","0058a00000L2IR9AAN","2022-05-25 20:38:02","0058a00000L2IR9AAN","2022-05-25 20:38:02","0058a00000L2IR9AAN","Large","06m8a000000eQbcAAE"
"0Ds8a000002eaEXCAY","0","","MXN","2023-06-16 17:10:07","0058a00000M0S7nAAF","2023-06-16 17:10:07","0058a00000M0S7nAAF","2023-06-16 17:10:07","0058a00000M0S7nAAF","Large","06m8a000000tafmAAA"
"0Ds8a000002eaPzCAI","0","","USD","2023-06-28 20:42:54","0058a00000Mlc6SAAR","2023-06-28 20:42:54","0058a00000Mlc6SAAR","2023-06-28 20:42:54","0058a00000Mlc6SAAR","Large","06m8a000000tafmAAA"
"0Ds8a000002jU9NCAU","0","","PEN","2022-12-01 22:55:26","0058a00000MNWtZAAX","2023-01-30 21:57:26","0058a00000MNWtZAAX","2023-01-30 21:57:26","0058a00000MNWtZAAX","Large","06m8a000000tafmAAA"
"0Ds8a000002jU9SCAU","0","","MXN","2022-12-01 22:57:51","0058a00000MNWtPAAX","2023-02-17 00:22:08","0058a00000MNWtPAAX","2023-02-17 00:22:08","0058a00000MNWtPAAX","Large","06m8a000001ToLJAA0"
"0Ds8a000002jU9XCAU","0","","USD","2022-12-02 00:33:12","0058a00000MNWuDAAX","2023-02-20 22:35:31","0058a00000MNWuDAAX","2023-02-20 22:35:31","0058a00000MNWuDAAX","Large","06m8a000000tafmAAA"
"0Ds8a000002jUAQCA2","0","","MXN","2022-12-02 19:16:25","0058a00000MNWtjAAH","2023-05-31 18:26:05","0058a00000MNWtjAAH","2023-05-31 18:26:05","0058a00000MNWtjAAH","Large","06m8a000000tafmAAA"
"0Ds8a000002jUOXCA2","0","","USD","2022-12-19 14:53:13","0058a00000MNWtKAAX","2023-06-28 16:24:24","0058a00000MNWtKAAX","2023-06-28 16:24:24","0058a00000MNWtKAAX","Large","06m8a000000tafmAAA"
"0Ds8a000002jURMCA2","0","","COP","2022-12-21 01:50:01","0058a00000MNWteAAH","2023-01-23 22:02:09","0058a00000MNWteAAH","2023-01-23 22:02:09","0058a00000MNWteAAH","Large","06m8a000000tafmAAA"
"0Ds8a000002jUTrCAM","0","","MXN","2022-12-27 19:07:43","0058a00000MNe16AAD","2023-03-01 23:35:28","0058a00000MNe16AAD","2023-03-01 23:35:28","0058a00000MNe16AAD","Large","06m8a000000tafmAAA"
"0Ds8a000002jUTwCAM","0","","USD","2022-12-27 19:12:11","0058a00000MNWtFAAX","2023-04-01 00:23:06","0058a00000MNWtFAAX","2023-04-01 00:23:06","0058a00000MNWtFAAX","Large","06m8a000000tafmAAA"
"0Ds8a000002jVBtCAM","0","","USD","2023-01-13 19:10:02","0058a00000MNWt0AAH","2023-03-03 04:23:11","0058a00000MNWt0AAH","2023-03-03 04:23:11","0058a00000MNWt0AAH","Large","06m8a000000tafmAAA"
"0Ds8a000002qYvdCAE","0","","MXN","2022-08-02 00:24:36","0058a00000LN8cxAAD","2022-12-21 19:49:42","0058a00000LN8cxAAD","2022-12-21 19:49:42","0058a00000LN8cxAAD","Large","06m8a000000tafmAAA"
