"Id","Name","ParentRoleId","RollupDescription","OpportunityAccessForAccountOwner","CaseAccessForAccountOwner","ContactAccessForAccountOwner","ForecastUserId","MayForecastManagerShare","LastModifiedDate","LastModifiedById","SystemModstamp","PortalAccountId","PortalType","PortalRole","PortalAccountOwnerId"
"00E8a000001le92EAA","Directivos","000000000000000AAA","","Edit","Edit","Edit","0058a00000MNWt0AAH","0","2022-12-01 18:56:53","0058a00000LN8cxAAD","2023-01-24 03:48:18","","None","",""
"00E8a000001le93EAA","Administrador de inventarios","00E8a000001le92EAA","","Read","None","Read","000000000000000AAA","0","2022-12-01 18:57:25","0058a00000LN8cxAAD","2022-12-01 18:57:25","","None","",""
"00E8a000001le94EAA","CO Channel manager","00E8a000001le92EAA","CO Channel manager","Edit","Edit","Edit","000000000000000AAA","0","2022-12-01 18:57:25","0058a00000LN8cxAAD","2022-12-01 18:57:25","","None","",""
"00E8a000001le95EAA","EC Country manager","00E8a000001le92EAA","EC Country manager","Read","Edit","Edit","0058a00000MNWtKAAX","0","2022-12-01 18:57:25","0058a00000LN8cxAAD","2023-01-17 02:00:29","","None","",""
"00E8a000001le96EAA","EC Gerencia","00E8a000001le95EAA","EC Gerencia","Read","Edit","Edit","000000000000000AAA","0","2022-12-01 18:57:25","0058a00000LN8cxAAD","2022-12-01 18:57:25","","None","",""
"00E8a000001le97EAA","EC Vendedor","00E8a000001le96EAA","EC Vendedor","Edit","Edit","Edit","000000000000000AAA","0","2022-12-01 18:57:25","0058a00000LN8cxAAD","2022-12-01 18:57:25","","None","",""
"00E8a000001le98EAA","MX Country manager","00E8a000001le92EAA","MX Country manager","Read","Edit","Edit","000000000000000AAA","0","2022-12-01 18:57:25","0058a00000LN8cxAAD","2022-12-01 18:57:25","","None","",""
"00E8a000001le99EAA","MX Gerencia","00E8a000001le98EAA","MX Gerencia","Read","Edit","Edit","000000000000000AAA","0","2022-12-01 18:57:25","0058a00000LN8cxAAD","2023-01-24 01:46:09","","None","",""
"00E8a000001le9AEAQ","MX Vendedor","00E8a000001le98EAA","MX Vendedor","Edit","Edit","Edit","000000000000000AAA","0","2023-08-01 15:06:31","0058a00000MNWuDAAX","2023-08-01 15:06:31","","None","",""
"00E8a000001le9BEAQ","PE Channel manager","00E8a000001le92EAA","PE Channel manager","Edit","Edit","Edit","000000000000000AAA","0","2022-12-01 18:57:26","0058a00000LN8cxAAD","2022-12-01 18:57:26","","None","",""
"00E8a000001le9CEAQ","RD Channel manager","00E8a000001le92EAA","RD Channel manager","Edit","Edit","Edit","000000000000000AAA","0","2022-12-01 18:57:26","0058a00000LN8cxAAD","2022-12-01 18:57:26","","None","",""
"0MI8a0000004gDPGAY","Colombia","000000000000000AAA","Colombia","Read","None","Read","000000000000000AAA","0","2022-12-01 17:30:10","0058a00000LN8cxAAD","2022-12-01 17:30:10","","None","",""
"0MI8a0000004gDUGAY","Ecuador","000000000000000AAA","Ecuador","Read","None","Read","000000000000000AAA","0","2022-12-01 17:30:42","0058a00000LN8cxAAD","2022-12-01 17:30:42","","None","",""
"0MI8a0000004gDZGAY","México","000000000000000AAA","México","Read","None","Read","000000000000000AAA","0","2022-12-01 17:31:31","0058a00000LN8cxAAD","2022-12-01 17:31:31","","None","",""
"0MI8a0000004gDeGAI","Perú","000000000000000AAA","Perú","Read","None","Read","000000000000000AAA","0","2022-12-01 17:32:22","0058a00000LN8cxAAD","2022-12-01 17:32:22","","None","",""
"0MI8a0000004gDjGAI","RD","000000000000000AAA","RD","Read","None","Read","000000000000000AAA","0","2022-12-01 17:32:41","0058a00000LN8cxAAD","2022-12-01 17:32:41","","None","",""
"0MI8a0000004gDoGAI","Channel Manager CO","0MI8a0000004gDPGAY","Channel Manager CO","Read","None","Read","000000000000000AAA","0","2022-12-01 17:33:33","0058a00000LN8cxAAD","2022-12-01 17:33:33","","None","",""
"0MI8a0000004gDtGAI","Country Manager","0MI8a0000004gDUGAY","Country Manager","Read","None","Read","000000000000000AAA","0","2022-12-01 17:34:13","0058a00000LN8cxAAD","2022-12-01 17:34:13","","None","",""
"0MI8a0000004gDyGAI","Gerente EC","0MI8a0000004gDtGAI","Gerente EC","Read","None","Read","000000000000000AAA","0","2022-12-01 17:34:49","0058a00000LN8cxAAD","2022-12-01 17:34:49","","None","",""
"0MI8a0000004gE3GAI","Equipo de Ventas EC","0MI8a0000004gDyGAI","Equipo de Ventas EC","Read","None","Read","000000000000000AAA","0","2022-12-01 17:35:46","0058a00000LN8cxAAD","2022-12-01 17:35:46","","None","",""
"0MI8a0000004gE8GAI","Líder","0MI8a0000004gDZGAY","Líder","Read","None","Read","000000000000000AAA","0","2022-12-01 17:36:27","0058a00000LN8cxAAD","2022-12-01 17:36:27","","None","",""
