"Id","UserId","Territory2Id","IsActive","RoleInTerritory2","LastModifiedDate","LastModifiedById","SystemModstamp"
"04S8a000004cSy7EAE","0058a00000L2IR7AAN","000000000000000AAA","1","","2022-05-25 20:38:02","0058a00000L2IR8AAN","2022-05-25 20:38:02"
"04S8a000004cSy8EAE","0058a00000L2IRDAA3","000000000000000AAA","1","","2022-05-25 20:38:02","0058a00000LLRscAAH","2022-05-25 20:38:02"
"04S8a000004cSy9EAE","0058a00000LLRscAAH","000000000000000AAA","1","","2022-05-25 20:38:02","0058a00000LLRscAAH","2022-05-25 20:38:02"
"04S8a000004cSyAEAU","0058a00000L2IR8AAN","000000000000000AAA","1","","2022-05-25 20:38:02","0058a00000LLRscAAH","2022-05-25 20:38:02"
"04S8a000004cSyBEAU","0058a00000L2IREAA3","000000000000000AAA","1","","2022-05-25 20:38:02","0058a00000LLRscAAH","2022-05-25 20:38:02"
"04S8a000004cSyCEAU","0058a00000L2IRFAA3","000000000000000AAA","1","","2022-05-25 20:38:02","0058a00000L2IR8AAN","2022-05-25 20:38:02"
"04S8a000004cSyDEAU","0058a00000L2IRGAA3","000000000000000AAA","1","","2022-05-25 20:38:02","0058a00000L2IR7AAN","2022-05-25 20:38:02"
"04S8a000004cSyEEAU","0058a00000L2IRHAA3","000000000000000AAA","1","","2022-05-25 20:38:02","0058a00000L2IR7AAN","2022-05-25 20:38:02"
"04S8a000004cSyFEAU","0058a00000L2IRIAA3","000000000000000AAA","1","","2022-05-25 20:38:02","0058a00000L2IR7AAN","2022-05-25 20:38:02"
"04S8a000004cSyGEAU","0058a00000L2IRJAA3","000000000000000AAA","1","","2022-05-25 20:38:02","0058a00000L2IR7AAN","2022-05-25 20:38:02"
"04S8a000004cSyHEAU","0058a00000L2IRKAA3","000000000000000AAA","1","","2022-05-25 20:38:02","0058a00000L2IR7AAN","2022-05-25 20:38:02"
"04S8a000004cSyIEAU","0058a00000L2IRLAA3","000000000000000AAA","1","","2022-05-25 20:38:02","0058a00000L2IR7AAN","2022-05-25 20:38:02"
"04S8a000004cSyJEAU","0058a00000L2IRMAA3","000000000000000AAA","1","","2022-05-25 20:38:02","0058a00000L2IR7AAN","2022-05-25 20:38:02"
"04S8a000004cSyKEAU","0058a00000L2IRNAA3","000000000000000AAA","1","","2022-05-25 20:38:02","0058a00000L2IR7AAN","2022-05-25 20:38:02"
"04S8a000004cSyLEAU","0058a00000L2IROAA3","000000000000000AAA","1","","2022-05-25 20:38:02","0058a00000L2IR7AAN","2022-05-25 20:38:02"
"04S8a000004cSyMEAU","0058a00000L2IRPAA3","000000000000000AAA","1","","2022-05-25 20:38:02","0058a00000L2IR7AAN","2022-05-25 20:38:02"
